,Time,log_flow_verde_upstream,log_flow_verde_downstream,difference_log_flow,difference_flow,CumDiff_flow
0,2024-10-01,4.703964026863205,4.890349128221754,-0.1863851013585487,-22.616129032258016,-22.616129032258016
1,2024-11-01,5.263553374111697,6.011185471720183,-0.747632097608486,-214.79999999999995,-237.41612903225797
2,2024-12-01,5.424381431822872,6.259581464064923,-0.8352000322420512,-296.1290322580646,-533.5451612903225
3,2025-01-01,5.444092051641288,5.330378516044663,0.11371353559662545,24.870967741935345,-508.67419354838717
4,2025-02-01,5.391189511824932,5.01657002961607,0.3746194822088613,68.57142857142864,-440.1027649769585
5,2025-03-01,5.40572417421833,4.808769141229331,0.5969550329889985,100.09677419354844,-340.0059907834101
6,2025-04-01,5.03500265054455,4.83336761160498,0.20163503893957024,28.06666666666669,-311.93932411674336
7,2025-05-01,4.778798148785918,4.8339751008535625,-0.05517695206764461,-6.748387096774152,-318.6877112135175
8,2025-06-01,4.627974838641355,4.7847100998201695,-0.15673526117881487,-17.360000000000056,-336.0477112135176
9,2025-07-01,4.370712874773608,4.789639971320336,-0.418927096546728,-41.158064516129116,-377.2057757296467
10,2025-08-01,4.48391338184277,4.880355138884644,-0.3964417570418739,-43.0967741935484,-420.3025499231951
11,2025-09-01,4.843311812879736,4.929666231562589,-0.08635441868285287,-11.444444444444485,-431.74699436763956
12,2025-10-01,5.491203255664652,5.974832534790039,-0.48362927912538733,-150.85333473226083,-582.6003290999004
13,2025-11-01,6.466918783138928,5.746940612792969,0.7199781703459589,330.26701426606667,-252.3333148338337
14,2025-12-01,6.398517882709933,6.247213840484619,0.15130404222531357,84.3821266100432,-167.9511882237905
15,2026-01-01,6.568891933051547,6.094521522521973,0.4743704105295743,269.1579923152459,101.20680409145541
16,2026-02-01,6.665194572496447,6.540934085845947,0.12426048665049994,91.68257960586311,192.88938369731852
17,2026-03-01,5.350793726317234,5.876399993896484,-0.5256062675792501,-145.74791251207492,47.1414711852436
18,2026-04-01,5.1703099929960565,6.11770486831665,-0.9473948753205939,-277.8525389360642,-230.7110677508206
19,2026-05-01,4.774768974532367,5.173304080963135,-0.39853510643076806,-58.01409675275386,-288.72516450357443
20,2026-06-01,4.364486072017344,4.910110950469971,-0.5456248784526263,-57.04547430106635,-345.7706388046408
21,2026-07-01,4.296429919957247,5.687481880187988,-1.3910519602307412,-221.71231373730149,-567.4829525419423
22,2026-08-01,4.471921560865174,4.95872163772583,-0.4868000768606562,-54.88688017740242,-622.3698327193447
23,2026-09-01,4.601527504252456,4.63117790222168,-0.029650397969223974,-2.9984923209557195,-625.3683250403004
24,2026-10-01,4.738540155618741,6.0436177253723145,-1.305077569753573,-307.14757622349225,-932.5159012637927
25,2026-11-01,5.296610670436968,6.3863067626953125,-1.089696092258344,-394.00104679059393,-1326.5169480543866
26,2026-12-01,5.554658936532974,5.889346122741699,-0.3346871862087255,-102.73024146686339,-1429.24718952125
27,2027-01-01,6.091439763455129,5.2301740646362305,0.8612656988188983,255.23209092557465,-1174.0150985956752
28,2027-02-01,6.151159767755044,5.153782367706299,0.9973774000487454,296.17638083980114,-877.8387177558741
29,2027-03-01,6.108583884798758,5.307797908782959,0.8007859760157992,247.7963100184663,-630.0424077374078
30,2027-04-01,5.19612291420185,5.583630084991455,-0.38750717078960495,-85.46479234701502,-715.5072000844227
31,2027-05-01,4.729544933900592,5.382364749908447,-0.6528198160078551,-104.29206900017839,-819.7992690846011
32,2027-06-01,4.336936300010633,4.844157695770264,-0.5072213957596308,-50.52337735559139,-870.3226464401924
33,2027-07-01,4.668533080209969,5.237264633178711,-0.5687315529687416,-81.61338551557121,-951.9360319557636
34,2027-08-01,4.892335794940541,4.803913593292236,0.08842220164830472,11.277597684199819,-940.6584342715638
35,2027-09-01,4.706178864466004,5.030563831329346,-0.3243849668633416,-42.39064117292807,-983.0490754444919
36,2027-10-01,4.704601839182291,6.06554651260376,-1.3609446734214687,-320.30373042928807,-1303.35280587378
37,2027-11-01,5.2128913153292045,6.158575534820557,-0.9456842194913522,-289.12996622090964,-1592.4827720946896
38,2027-12-01,5.399919660816148,5.815875053405762,-0.41595539258961356,-114.1962954802348,-1706.6790675749244
39,2028-01-01,5.52255695381648,5.550047397613525,-0.02749044379704557,-6.975589435698879,-1713.6546570106232
40,2028-02-01,5.8813714905721275,5.4758806228637695,0.40549086770835796,119.43958982975602,-1594.2150671808672
41,2028-03-01,5.87588334094835,5.366533279418945,0.5093500615294051,142.2200029592234,-1451.9950642216438
42,2028-04-01,5.3477695755111725,5.955514430999756,-0.6077448554885834,-175.73629043945712,-1627.731354661101
43,2028-05-01,4.868002048105409,6.092128753662109,-1.2241267055567002,-312.3012875636821,-1940.032642224783
44,2028-06-01,4.383288728017824,5.199479579925537,-0.816190851907713,-101.07689749538557,-2041.1095397201686
45,2028-07-01,4.590032847321967,4.903182506561279,-0.31314965923931215,-36.220173085379,-2077.329712805548
46,2028-08-01,4.510003074488454,4.895719528198242,-0.38571645370978835,-42.794086525342394,-2120.12379933089
47,2028-09-01,4.411081884038478,5.1022796630859375,-0.6911977790474593,-82.03773082297722,-2202.1615301538673
48,2028-10-01,4.996341537264814,5.256505489349365,-0.2601639520845511,-43.93884947471963,-2246.100379628587
49,2028-11-01,5.531050214179922,6.223075866699219,-0.6920256525192965,-251.84300538382496,-2497.943385012412
50,2028-12-01,5.432452762329282,5.502660751342773,-0.07020798901349146,-16.634335442592345,-2514.577720455004
51,2029-01-01,5.734676338162331,5.406455993652344,0.3282203445099876,86.57237077147155,-2428.0053496835326
52,2029-02-01,5.699478526457273,5.531398773193359,0.168079753263914,46.21474020348131,-2381.7906094800514
53,2029-03-01,5.702862165286108,6.266364097595215,-0.5635019323091068,-226.83534046240493,-2608.6259499424564
54,2029-04-01,5.128786500148388,5.665788650512695,-0.537002150364307,-120.00352575328773,-2728.629475695744
55,2029-05-01,4.742532078851575,5.830498695373535,-1.0879666165219604,-225.80413144547953,-2954.4336071412235
56,2029-06-01,4.411081884038478,4.8971991539001465,-0.48611726986166826,-51.555663233874625,-3005.9892703750984
57,2029-07-01,4.71068893964018,5.141052722930908,-0.4303637832907281,-59.76688485267809,-3065.7561552277766
58,2029-08-01,5.558976795381432,5.031554222106934,0.5274225732744986,106.3862309873609,-2959.369924240416
59,2029-09-01,5.581282628685534,5.066216468811035,0.5150661598744986,106.83858818957066,-2852.5313360508453
60,2029-10-01,5.066895909192601,5.712329387664795,-0.645433478472194,-143.89406080845637,-2996.4253968593016
61,2029-11-01,5.082173437195534,6.235960960388184,-1.1537875231926495,-349.6673645697285,-3346.09276142903
62,2029-12-01,5.406091020748939,5.811643123626709,-0.40555210287776955,-111.40863097176128,-3457.5013924007912
63,2030-01-01,5.508015489684333,6.0969038009643555,-0.5888883112800221,-197.81830111713296,-3655.3196935179244
64,2030-02-01,5.677202185471814,5.674000263214111,0.0032019222577028827,0.933884703210424,-3654.385808814714
65,2030-03-01,5.481428928326016,6.235909938812256,-0.7544810104862396,-270.5754960037501,-3924.961304818464
66,2030-04-01,5.053438729244479,5.5362653732299805,-0.48282664398550157,-97.16873899991634,-4022.1300438183807
67,2030-05-01,4.806510026692723,5.588272571563721,-0.7817625448709977,-144.96949081390446,-4167.099534632285
68,2030-06-01,4.405331261930353,5.7106451988220215,-1.3053139368916682,-220.1796338329138,-4387.279168465199
69,2030-07-01,4.62243449563126,4.982781887054443,-0.3603473914231836,-44.13821846312908,-4431.417386928329
70,2030-08-01,4.8715426246950155,5.015655994415283,-0.14411336972026767,-20.23289047052205,-4451.65027739885
71,2030-09-01,4.859770600700117,5.213008403778076,-0.3532378030779588,-54.651100987021636,-4506.301378385872
72,2030-10-01,4.863103475153709,5.583136081695557,-0.7200326065418476,-136.47894934339354,-4642.780327729266
73,2030-11-01,5.392389015277373,6.187689781188965,-0.795300765911592,-266.9926839760587,-4909.773011705324
74,2030-12-01,5.5046149188674205,5.525588035583496,-0.0209731167160756,-5.2101361476292425,-4914.983147852953
75,2031-01-01,5.504809115214881,6.244947910308838,-0.7401387950939569,-269.5308590097296,-5184.514006862682
76,2031-02-01,5.527511824006747,6.006639003753662,-0.4791271797469152,-154.5987568494814,-5339.1127637121635
77,2031-03-01,5.419667267071493,6.228678226470947,-0.8090109593994539,-281.28081150677815,-5620.393575218942
78,2031-04-01,5.212399858847157,5.568256855010986,-0.35585699616382893,-78.44305127379636,-5698.836626492738
79,2031-05-01,4.747058060181039,5.184921741485596,-0.4378636813045569,-63.31473322424229,-5762.151359716981
80,2031-06-01,4.3369961468849025,5.316697120666504,-0.9797009737816014,-127.23247339754914,-5889.38383311453
81,2031-07-01,4.385351365091146,5.7807936668396,-1.3954423017484539,-243.74982826967693,-6133.133661384207
82,2031-08-01,4.912407000876975,5.058590412139893,-0.14618341126291767,-21.40224329523093,-6154.535904679437
83,2031-09-01,4.573635300785318,5.0152740478515625,-0.4416387470662446,-53.80171405460945,-6208.337618734047
84,2031-10-01,4.902115328698503,6.032472610473633,-1.1303572817751295,-282.17005519618783,-6490.507673930235
85,2031-11-01,5.360576234481702,6.795647621154785,-1.4350713866730835,-681.1004505960852,-7171.60812452632
86,2031-12-01,5.55351422917715,5.924650192260742,-0.3711359630835922,-116.0043948540835,-7287.612519380404
87,2032-01-01,5.527774892539103,5.812705993652344,-0.2849311011132407,-82.93963200162042,-7370.552151382024
88,2032-02-01,5.554134383944488,5.568165302276611,-0.014030918332123221,-3.649777160293695,-7374.201928542318
89,2032-03-01,5.178569010320364,5.806968688964844,-0.6283996786444801,-155.1806230160624,-7529.38255155838
90,2032-04-01,4.907944071970687,5.0572638511657715,-0.14931977919508466,-21.7990785785081,-7551.181630136888
91,2032-05-01,4.542727287726563,4.972995281219482,-0.43026799349291966,-50.51226448460952,-7601.693894621498
92,2032-06-01,4.381300411156128,4.8042097091674805,-0.42290929801135224,-42.0810960228645,-7643.774990644362
93,2032-07-01,4.518878664288988,4.821163177490234,-0.30228451320124616,-32.376690918997184,-7676.1516815633595
94,2032-08-01,4.39119480880576,4.948376655578613,-0.5571818467728535,-60.209147800248076,-7736.360829363608
95,2032-09-01,4.408662636462204,5.152132511138916,-0.7434698746767117,-90.64008188273684,-7827.000911246345
96,2032-10-01,4.7444998577945485,6.107227325439453,-1.3627274676449046,-334.1415022822306,-8161.142413528575
97,2032-11-01,5.322264508583525,6.126245975494385,-0.8039814669108596,-252.86742389068758,-8414.009837419262
98,2032-12-01,5.50153266087052,5.9515299797058105,-0.44999731883529037,-139.27367370551607,-8553.283511124779
99,2033-01-01,5.482983567860309,5.572032928466797,-0.08904936060648794,-22.404776769308285,-8575.688287894087
100,2033-02-01,5.828133550458222,5.9130706787109375,-0.08493712825271515,-30.116064364615056,-8605.804352258701
101,2033-03-01,5.403474640222029,5.649001121520996,-0.24552648129896681,-61.830573050491495,-8667.634925309192
102,2033-04-01,5.070180082927877,5.310395240783691,-0.2402151578558147,-43.22722675481333,-8710.862152064006
103,2033-05-01,4.702967226677165,5.441908836364746,-0.7389416096875809,-120.60858484800869,-8831.470736912015
104,2033-06-01,4.419878745071108,4.878496170043945,-0.45861742497283764,-48.346652382413296,-8879.817389294429
105,2033-07-01,4.684681036943491,5.0139055252075195,-0.3292244882640283,-42.21560678090306,-8922.032996075332
106,2033-08-01,4.308164455062412,5.055099010467529,-0.746934555405117,-82.51608099822369,-9004.549077073556
107,2033-09-01,4.459184931390176,5.055663108825684,-0.5964781774355075,-70.49149873114919,-9075.040575804705
108,2033-10-01,4.646740948676606,5.786655426025391,-1.1399144773487846,-221.6764395415031,-9296.717015346208
109,2033-11-01,5.162390511369354,6.40351676940918,-1.2411262580398255,-429.38401841808513,-9726.101033764293
110,2033-12-01,6.648767402509829,5.616718769073486,1.032048633436343,496.8467703048096,-9229.254263459483
