time,Exponential_Population
1930-11-01,153631
1930-12-01,153900
1931-01-01,154169
1931-02-01,154438
1931-03-01,154709
1931-04-01,154979
1931-05-01,155250
1931-06-01,155522
1931-07-01,155794
1931-08-01,156066
1931-09-01,156339
1931-10-01,156613
1931-11-01,156887
1931-12-01,157161
1932-01-01,157436
1932-02-01,157711
1932-03-01,157987
1932-04-01,158263
1932-05-01,158540
1932-06-01,158818
1932-07-01,159095
1932-08-01,159374
1932-09-01,159652
1932-10-01,159932
1932-11-01,160211
1932-12-01,160492
1933-01-01,160772
1933-02-01,161053
1933-03-01,161335
1933-04-01,161617
1933-05-01,161900
1933-06-01,162183
1933-07-01,162467
1933-08-01,162751
1933-09-01,163036
1933-10-01,163321
1933-11-01,163606
1933-12-01,163893
1934-01-01,164179
1934-02-01,164466
1934-03-01,164754
1934-04-01,165042
1934-05-01,165331
1934-06-01,165620
1934-07-01,165910
1934-08-01,166200
1934-09-01,166491
1934-10-01,166782
1934-11-01,167074
1934-12-01,167366
1935-01-01,167659
1935-02-01,167952
1935-03-01,168246
1935-04-01,168540
1935-05-01,168835
1935-06-01,169130
1935-07-01,169426
1935-08-01,169722
1935-09-01,170019
1935-10-01,170316
1935-11-01,170614
1935-12-01,170913
1936-01-01,171212
1936-02-01,171511
1936-03-01,171811
1936-04-01,172111
1936-05-01,172413
1936-06-01,172714
1936-07-01,173016
1936-08-01,173319
1936-09-01,173622
1936-10-01,173926
1936-11-01,174230
1936-12-01,174535
1937-01-01,174840
1937-02-01,175146
1937-03-01,175452
1937-04-01,175759
1937-05-01,176066
1937-06-01,176374
1937-07-01,176683
1937-08-01,176992
1937-09-01,177301
1937-10-01,177611
1937-11-01,177922
1937-12-01,178233
1938-01-01,178545
1938-02-01,178857
1938-03-01,179170
1938-04-01,179483
1938-05-01,179797
1938-06-01,180112
1938-07-01,180427
1938-08-01,180742
1938-09-01,181059
1938-10-01,181375
1938-11-01,181693
1938-12-01,182010
1939-01-01,182329
1939-02-01,182648
1939-03-01,182967
1939-04-01,183287
1939-05-01,183608
1939-06-01,183929
1939-07-01,184250
1939-08-01,184573
1939-09-01,184896
1939-10-01,185219
1939-11-01,185543
1939-12-01,185867
1940-01-01,186192
1940-02-01,187091
1940-03-01,187994
1940-04-01,188901
1940-05-01,189812
1940-06-01,190728
1940-07-01,191649
1940-08-01,192574
1940-09-01,193503
1940-10-01,194436
1940-11-01,195375
1940-12-01,196317
1941-01-01,197265
1941-02-01,198217
1941-03-01,199173
1941-04-01,200134
1941-05-01,201100
1941-06-01,202070
1941-07-01,203045
1941-08-01,204025
1941-09-01,205010
1941-10-01,205999
1941-11-01,206993
1941-12-01,207992
1942-01-01,208996
1942-02-01,210004
1942-03-01,211017
1942-04-01,212036
1942-05-01,213059
1942-06-01,214087
1942-07-01,215120
1942-08-01,216158
1942-09-01,217201
1942-10-01,218249
1942-11-01,219302
1942-12-01,220361
1943-01-01,221424
1943-02-01,222492
1943-03-01,223566
1943-04-01,224645
1943-05-01,225729
1943-06-01,226818
1943-07-01,227913
1943-08-01,229012
1943-09-01,230117
1943-10-01,231228
1943-11-01,232344
1943-12-01,233465
1944-01-01,234591
1944-02-01,235723
1944-03-01,236861
1944-04-01,238004
1944-05-01,239152
1944-06-01,240306
1944-07-01,241466
1944-08-01,242631
1944-09-01,243802
1944-10-01,244978
1944-11-01,246160
1944-12-01,247348
1945-01-01,248542
1945-02-01,249741
1945-03-01,250946
1945-04-01,252157
1945-05-01,253374
1945-06-01,254597
1945-07-01,255825
1945-08-01,257060
1945-09-01,258300
1945-10-01,259546
1945-11-01,260799
1945-12-01,262057
1946-01-01,263322
1946-02-01,264592
1946-03-01,265869
1946-04-01,267152
1946-05-01,268441
1946-06-01,269737
1946-07-01,271038
1946-08-01,272346
1946-09-01,273660
1946-10-01,274981
1946-11-01,276308
1946-12-01,277641
1947-01-01,278981
1947-02-01,280327
1947-03-01,281680
1947-04-01,283039
1947-05-01,284405
1947-06-01,285777
1947-07-01,287156
1947-08-01,288542
1947-09-01,289934
1947-10-01,291333
1947-11-01,292739
1947-12-01,294151
1948-01-01,295571
1948-02-01,296997
1948-03-01,298430
1948-04-01,299870
1948-05-01,301317
1948-06-01,302771
1948-07-01,304232
1948-08-01,305700
1948-09-01,307175
1948-10-01,308658
1948-11-01,310147
1948-12-01,311644
1949-01-01,313148
1949-02-01,314659
1949-03-01,316177
1949-04-01,317703
1949-05-01,319236
1949-06-01,320776
1949-07-01,322324
1949-08-01,323879
1949-09-01,325442
1949-10-01,327013
1949-11-01,328591
1949-12-01,330176
1950-01-01,331769
1950-02-01,333691
1950-03-01,335624
1950-04-01,337568
1950-05-01,339524
1950-06-01,341490
1950-07-01,343469
1950-08-01,345458
1950-09-01,347459
1950-10-01,349472
1950-11-01,351496
1950-12-01,353532
1951-01-01,355580
1951-02-01,357640
1951-03-01,359712
1951-04-01,361795
1951-05-01,363891
1951-06-01,365999
1951-07-01,368119
1951-08-01,370251
1951-09-01,372396
1951-10-01,374553
1951-11-01,376723
1951-12-01,378905
1952-01-01,381100
1952-02-01,383307
1952-03-01,385528
1952-04-01,387761
1952-05-01,390007
1952-06-01,392266
1952-07-01,394538
1952-08-01,396824
1952-09-01,399122
1952-10-01,401434
1952-11-01,403760
1952-12-01,406098
1953-01-01,408451
1953-02-01,410817
1953-03-01,413196
1953-04-01,415590
1953-05-01,417997
1953-06-01,420418
1953-07-01,422854
1953-08-01,425303
1953-09-01,427767
1953-10-01,430245
1953-11-01,432737
1953-12-01,435244
1954-01-01,437765
1954-02-01,440301
1954-03-01,442851
1954-04-01,445416
1954-05-01,447996
1954-06-01,450591
1954-07-01,453201
1954-08-01,455827
1954-09-01,458467
1954-10-01,461123
1954-11-01,463794
1954-12-01,466480
1955-01-01,469183
1955-02-01,471900
1955-03-01,474634
1955-04-01,477383
1955-05-01,480148
1955-06-01,482930
1955-07-01,485727
1955-08-01,488541
1955-09-01,491371
1955-10-01,494217
1955-11-01,497080
1955-12-01,499959
1956-01-01,502855
1956-02-01,505768
1956-03-01,508698
1956-04-01,511644
1956-05-01,514608
1956-06-01,517589
1956-07-01,520587
1956-08-01,523603
1956-09-01,526636
1956-10-01,529686
1956-11-01,532754
1956-12-01,535841
1957-01-01,538944
1957-02-01,542066
1957-03-01,545206
1957-04-01,548364
1957-05-01,551541
1957-06-01,554736
1957-07-01,557949
1957-08-01,561181
1957-09-01,564432
1957-10-01,567701
1957-11-01,570990
1957-12-01,574297
1958-01-01,577624
1958-02-01,580970
1958-03-01,584335
1958-04-01,587720
1958-05-01,591124
1958-06-01,594548
1958-07-01,597992
1958-08-01,601456
1958-09-01,604940
1958-10-01,608444
1958-11-01,611969
1958-12-01,615514
1959-01-01,619079
1959-02-01,622665
1959-03-01,626272
1959-04-01,629900
1959-05-01,633548
1959-06-01,637218
1959-07-01,640909
1959-08-01,644622
1959-09-01,648356
1959-10-01,652112
1959-11-01,655889
1959-12-01,659688
1960-01-01,663510
1960-02-01,665598
1960-03-01,667694
1960-04-01,669796
1960-05-01,671905
1960-06-01,674020
1960-07-01,676142
1960-08-01,678271
1960-09-01,680406
1960-10-01,682548
1960-11-01,684697
1960-12-01,686852
1961-01-01,689015
1961-02-01,691184
1961-03-01,693360
1961-04-01,695543
1961-05-01,697732
1961-06-01,699929
1961-07-01,702133
1961-08-01,704343
1961-09-01,706561
1961-10-01,708785
1961-11-01,711016
1961-12-01,713255
1962-01-01,715500
1962-02-01,717753
1962-03-01,720013
1962-04-01,722279
1962-05-01,724553
1962-06-01,726834
1962-07-01,729123
1962-08-01,731418
1962-09-01,733721
1962-10-01,736031
1962-11-01,738348
1962-12-01,740672
1963-01-01,743004
1963-02-01,745343
1963-03-01,747690
1963-04-01,750044
1963-05-01,752405
1963-06-01,754774
1963-07-01,757150
1963-08-01,759534
1963-09-01,761925
1963-10-01,764323
1963-11-01,766730
1963-12-01,769144
1964-01-01,771565
1964-02-01,773994
1964-03-01,776431
1964-04-01,778875
1964-05-01,781327
1964-06-01,783787
1964-07-01,786255
1964-08-01,788730
1964-09-01,791213
1964-10-01,793704
1964-11-01,796203
1964-12-01,798709
1965-01-01,801224
1965-02-01,803746
1965-03-01,806277
1965-04-01,808815
1965-05-01,811361
1965-06-01,813916
1965-07-01,816478
1965-08-01,819049
1965-09-01,821627
1965-10-01,824214
1965-11-01,826809
1965-12-01,829412
1966-01-01,832023
1966-02-01,834642
1966-03-01,837270
1966-04-01,839906
1966-05-01,842550
1966-06-01,845203
1966-07-01,847863
1966-08-01,850533
1966-09-01,853210
1966-10-01,855896
1966-11-01,858591
1966-12-01,861294
1967-01-01,864006
1967-02-01,866726
1967-03-01,869454
1967-04-01,872192
1967-05-01,874938
1967-06-01,877692
1967-07-01,880455
1967-08-01,883227
1967-09-01,886008
1967-10-01,888797
1967-11-01,891595
1967-12-01,894402
1968-01-01,897218
1968-02-01,900043
1968-03-01,902876
1968-04-01,905719
1968-05-01,908570
1968-06-01,911430
1968-07-01,914300
1968-08-01,917178
1968-09-01,920066
1968-10-01,922962
1968-11-01,925868
1968-12-01,928783
1969-01-01,931707
1969-02-01,934640
1969-03-01,937583
1969-04-01,940534
1969-05-01,943495
1969-06-01,946466
1969-07-01,949445
1969-08-01,952434
1969-09-01,955433
1969-10-01,958441
1969-11-01,961458
1969-12-01,964485
1970-01-01,967522
1970-02-01,971112
1970-03-01,974716
1970-04-01,978333
1970-05-01,981964
1970-06-01,985608
1970-07-01,989265
1970-08-01,992937
1970-09-01,996621
1970-10-01,1000320
1970-11-01,1004032
1970-12-01,1007758
1971-01-01,1011498
1971-02-01,1015252
1971-03-01,1019019
1971-04-01,1022801
1971-05-01,1026596
1971-06-01,1030406
1971-07-01,1034230
1971-08-01,1038068
1971-09-01,1041920
1971-10-01,1045787
1971-11-01,1049668
1971-12-01,1053563
1972-01-01,1057473
1972-02-01,1061397
1972-03-01,1065336
1972-04-01,1069290
1972-05-01,1073258
1972-06-01,1077241
1972-07-01,1081238
1972-08-01,1085251
1972-09-01,1089278
1972-10-01,1093321
1972-11-01,1097378
1972-12-01,1101450
1973-01-01,1105538
1973-02-01,1109641
1973-03-01,1113759
1973-04-01,1117892
1973-05-01,1122040
1973-06-01,1126204
1973-07-01,1130384
1973-08-01,1134578
1973-09-01,1138789
1973-10-01,1143015
1973-11-01,1147257
1973-12-01,1151514
1974-01-01,1155788
1974-02-01,1160077
1974-03-01,1164382
1974-04-01,1168703
1974-05-01,1173040
1974-06-01,1177393
1974-07-01,1181762
1974-08-01,1186148
1974-09-01,1190550
1974-10-01,1194968
1974-11-01,1199403
1974-12-01,1203854
1975-01-01,1208321
1975-02-01,1212805
1975-03-01,1217306
1975-04-01,1221823
1975-05-01,1226358
1975-06-01,1230909
1975-07-01,1235477
1975-08-01,1240061
1975-09-01,1244663
1975-10-01,1249282
1975-11-01,1253918
1975-12-01,1258572
1976-01-01,1263242
1976-02-01,1267930
1976-03-01,1272636
1976-04-01,1277358
1976-05-01,1282099
1976-06-01,1286857
1976-07-01,1291632
1976-08-01,1296425
1976-09-01,1301237
1976-10-01,1306065
1976-11-01,1310912
1976-12-01,1315777
1977-01-01,1320660
1977-02-01,1325561
1977-03-01,1330480
1977-04-01,1335418
1977-05-01,1340373
1977-06-01,1345348
1977-07-01,1350340
1977-08-01,1355351
1977-09-01,1360381
1977-10-01,1365430
1977-11-01,1370497
1977-12-01,1375583
1978-01-01,1380687
1978-02-01,1385811
1978-03-01,1390954
1978-04-01,1396116
1978-05-01,1401297
1978-06-01,1406497
1978-07-01,1411717
1978-08-01,1416956
1978-09-01,1422214
1978-10-01,1427492
1978-11-01,1432789
1978-12-01,1438106
1979-01-01,1443443
1979-02-01,1448800
1979-03-01,1454176
1979-04-01,1459573
1979-05-01,1464989
1979-06-01,1470426
1979-07-01,1475883
1979-08-01,1481360
1979-09-01,1486857
1979-10-01,1492375
1979-11-01,1497913
1979-12-01,1503472
1980-01-01,1509052
1980-02-01,1513345
1980-03-01,1517650
1980-04-01,1521968
1980-05-01,1526298
1980-06-01,1530641
1980-07-01,1534996
1980-08-01,1539363
1980-09-01,1543742
1980-10-01,1548135
1980-11-01,1552539
1980-12-01,1556956
1981-01-01,1561386
1981-02-01,1565828
1981-03-01,1570283
1981-04-01,1574751
1981-05-01,1579231
1981-06-01,1583724
1981-07-01,1588230
1981-08-01,1592748
1981-09-01,1597280
1981-10-01,1601824
1981-11-01,1606382
1981-12-01,1610952
1982-01-01,1615535
1982-02-01,1620132
1982-03-01,1624741
1982-04-01,1629364
1982-05-01,1633999
1982-06-01,1638648
1982-07-01,1643310
1982-08-01,1647985
1982-09-01,1652674
1982-10-01,1657376
1982-11-01,1662092
1982-12-01,1666820
1983-01-01,1671563
1983-02-01,1676318
1983-03-01,1681088
1983-04-01,1685870
1983-05-01,1690667
1983-06-01,1695477
1983-07-01,1700301
1983-08-01,1705138
1983-09-01,1709989
1983-10-01,1714854
1983-11-01,1719733
1983-12-01,1724626
1984-01-01,1729533
1984-02-01,1734454
1984-03-01,1739388
1984-04-01,1744337
1984-05-01,1749300
1984-06-01,1754277
1984-07-01,1759268
1984-08-01,1764273
1984-09-01,1769292
1984-10-01,1774326
1984-11-01,1779374
1984-12-01,1784437
1985-01-01,1789514
1985-02-01,1794605
1985-03-01,1799711
1985-04-01,1804831
1985-05-01,1809966
1985-06-01,1815115
1985-07-01,1820280
1985-08-01,1825458
1985-09-01,1830652
1985-10-01,1835860
1985-11-01,1841084
1985-12-01,1846322
1986-01-01,1851575
1986-02-01,1856842
1986-03-01,1862125
1986-04-01,1867423
1986-05-01,1872736
1986-06-01,1878064
1986-07-01,1883407
1986-08-01,1888766
1986-09-01,1894140
1986-10-01,1899529
1986-11-01,1904933
1986-12-01,1910353
1987-01-01,1915788
1987-02-01,1921238
1987-03-01,1926704
1987-04-01,1932186
1987-05-01,1937683
1987-06-01,1943196
1987-07-01,1948725
1987-08-01,1954269
1987-09-01,1959829
1987-10-01,1965405
1987-11-01,1970997
1987-12-01,1976604
1988-01-01,1982228
1988-02-01,1987867
1988-03-01,1993523
1988-04-01,1999195
1988-05-01,2004883
1988-06-01,2010587
1988-07-01,2016307
1988-08-01,2022044
1988-09-01,2027796
1988-10-01,2033566
1988-11-01,2039351
1988-12-01,2045154
1989-01-01,2050972
1989-02-01,2056807
1989-03-01,2062659
1989-04-01,2068528
1989-05-01,2074413
1989-06-01,2080315
1989-07-01,2086233
1989-08-01,2092169
1989-09-01,2098121
1989-10-01,2104090
1989-11-01,2110077
1989-12-01,2116080
1990-01-01,2122101
1990-02-01,2128653
1990-03-01,2135226
1990-04-01,2141819
1990-05-01,2148433
1990-06-01,2155067
1990-07-01,2161722
1990-08-01,2168397
1990-09-01,2175092
1990-10-01,2181809
1990-11-01,2188546
1990-12-01,2195304
1991-01-01,2202082
1991-02-01,2208882
1991-03-01,2215703
1991-04-01,2222545
1991-05-01,2229407
1991-06-01,2236292
1991-07-01,2243197
1991-08-01,2250124
1991-09-01,2257072
1991-10-01,2264041
1991-11-01,2271032
1991-12-01,2278045
1992-01-01,2285079
1992-02-01,2292135
1992-03-01,2299213
1992-04-01,2306312
1992-05-01,2313434
1992-06-01,2320577
1992-07-01,2327743
1992-08-01,2334931
1992-09-01,2342141
1992-10-01,2349373
1992-11-01,2356627
1992-12-01,2363904
1993-01-01,2371203
1993-02-01,2378525
1993-03-01,2385870
1993-04-01,2393237
1993-05-01,2400627
1993-06-01,2408040
1993-07-01,2415476
1993-08-01,2422934
1993-09-01,2430416
1993-10-01,2437921
1993-11-01,2445448
1993-12-01,2453000
1994-01-01,2460574
1994-02-01,2468172
1994-03-01,2475793
1994-04-01,2483438
1994-05-01,2491107
1994-06-01,2498799
1994-07-01,2506515
1994-08-01,2514254
1994-09-01,2522018
1994-10-01,2529806
1994-11-01,2537617
1994-12-01,2545453
1995-01-01,2553313
1995-02-01,2561197
1995-03-01,2569106
1995-04-01,2577039
1995-05-01,2584996
1995-06-01,2592979
1995-07-01,2600985
1995-08-01,2609017
1995-09-01,2617073
1995-10-01,2625154
1995-11-01,2633260
1995-12-01,2641391
1996-01-01,2649547
1996-02-01,2657729
1996-03-01,2665936
1996-04-01,2674168
1996-05-01,2682425
1996-06-01,2690708
1996-07-01,2699016
1996-08-01,2707351
1996-09-01,2715710
1996-10-01,2724096
1996-11-01,2732508
1996-12-01,2740945
1997-01-01,2749409
1997-02-01,2757899
1997-03-01,2766415
1997-04-01,2774957
1997-05-01,2783525
1997-06-01,2792121
1997-07-01,2800742
1997-08-01,2809391
1997-09-01,2818065
1997-10-01,2826767
1997-11-01,2835496
1997-12-01,2844251
1998-01-01,2853034
1998-02-01,2861844
1998-03-01,2870681
1998-04-01,2879545
1998-05-01,2888437
1998-06-01,2897356
1998-07-01,2906302
1998-08-01,2915276
1998-09-01,2924278
1998-10-01,2933308
1998-11-01,2942366
1998-12-01,2951451
1999-01-01,2960565
1999-02-01,2969707
1999-03-01,2978877
1999-04-01,2988075
1999-05-01,2997302
1999-06-01,3006557
1999-07-01,3015841
1999-08-01,3025153
1999-09-01,3034494
1999-10-01,3043864
1999-11-01,3053263
1999-12-01,3062691
2000-01-01,3072148
2000-02-01,3077712
2000-03-01,3083286
2000-04-01,3088869
2000-05-01,3094463
2000-06-01,3100067
2000-07-01,3105681
2000-08-01,3111305
2000-09-01,3116940
2000-10-01,3122584
2000-11-01,3128239
2000-12-01,3133904
2001-01-01,3139580
2001-02-01,3145265
2001-03-01,3150961
2001-04-01,3156668
2001-05-01,3162384
2001-06-01,3168111
2001-07-01,3173848
2001-08-01,3179596
2001-09-01,3185354
2001-10-01,3191123
2001-11-01,3196902
2001-12-01,3202691
2002-01-01,3208491
2002-02-01,3214302
2002-03-01,3220123
2002-04-01,3225954
2002-05-01,3231796
2002-06-01,3237649
2002-07-01,3243512
2002-08-01,3249386
2002-09-01,3255270
2002-10-01,3261165
2002-11-01,3267071
2002-12-01,3272988
2003-01-01,3278915
2003-02-01,3284853
2003-03-01,3290802
2003-04-01,3296761
2003-05-01,3302732
2003-06-01,3308713
2003-07-01,3314705
2003-08-01,3320707
2003-09-01,3326721
2003-10-01,3332746
2003-11-01,3338781
2003-12-01,3344827
2004-01-01,3350885
2004-02-01,3356953
2004-03-01,3363032
2004-04-01,3369123
2004-05-01,3375224
2004-06-01,3381336
2004-07-01,3387460
2004-08-01,3393594
2004-09-01,3399740
2004-10-01,3405897
2004-11-01,3412065
2004-12-01,3418244
2005-01-01,3424434
2005-02-01,3430636
2005-03-01,3436848
2005-04-01,3443072
2005-05-01,3449308
2005-06-01,3455554
2005-07-01,3461812
2005-08-01,3468081
2005-09-01,3474362
2005-10-01,3480654
2005-11-01,3486957
2005-12-01,3493272
2006-01-01,3499598
2006-02-01,3505935
2006-03-01,3512284
2006-04-01,3518645
2006-05-01,3525017
2006-06-01,3531401
2006-07-01,3537796
2006-08-01,3544203
2006-09-01,3550621
2006-10-01,3557051
2006-11-01,3563493
2006-12-01,3569946
2007-01-01,3576411
2007-02-01,3582888
2007-03-01,3589376
2007-04-01,3595877
2007-05-01,3602389
2007-06-01,3608912
2007-07-01,3615448
2007-08-01,3621995
2007-09-01,3628555
2007-10-01,3635126
2007-11-01,3641709
2007-12-01,3648304
2008-01-01,3654911
2008-02-01,3661530
2008-03-01,3668160
2008-04-01,3674803
2008-05-01,3681458
2008-06-01,3688125
2008-07-01,3694804
2008-08-01,3701495
2008-09-01,3708199
2008-10-01,3714914
2008-11-01,3721642
2008-12-01,3728381
2009-01-01,3735133
2009-02-01,3741897
2009-03-01,3748674
2009-04-01,3755462
2009-05-01,3762263
2009-06-01,3769077
2009-07-01,3775902
2009-08-01,3782740
2009-09-01,3789591
2009-10-01,3796453
2009-11-01,3803329
2009-12-01,3810216
2010-01-01,3817117
2010-02-01,3821788
2010-03-01,3826465
2010-04-01,3831148
2010-05-01,3835837
2010-06-01,3840532
2010-07-01,3845232
2010-08-01,3849938
2010-09-01,3854650
2010-10-01,3859367
2010-11-01,3864091
2010-12-01,3868820
2011-01-01,3873555
2011-02-01,3878295
2011-03-01,3883042
2011-04-01,3887794
2011-05-01,3892552
2011-06-01,3897316
2011-07-01,3902086
2011-08-01,3906861
2011-09-01,3911643
2011-10-01,3916430
2011-11-01,3921223
2011-12-01,3926022
2012-01-01,3930827
2012-02-01,3935638
2012-03-01,3940454
2012-04-01,3945277
2012-05-01,3950105
2012-06-01,3954940
2012-07-01,3959780
2012-08-01,3964626
2012-09-01,3969478
2012-10-01,3974336
2012-11-01,3979200
2012-12-01,3984070
2013-01-01,3988946
2013-02-01,3993828
2013-03-01,3998716
2013-04-01,4003610
2013-05-01,4008510
2013-06-01,4013416
2013-07-01,4018327
2013-08-01,4023245
2013-09-01,4028169
2013-10-01,4033099
2013-11-01,4038035
2013-12-01,4042977
2014-01-01,4047925
2014-02-01,4052879
2014-03-01,4057839
2014-04-01,4062805
2014-05-01,4067778
2014-06-01,4072756
2014-07-01,4077741
2014-08-01,4082731
2014-09-01,4087728
2014-10-01,4092731
2014-11-01,4097739
2014-12-01,4102755
2015-01-01,4107776
2015-02-01,4112803
2015-03-01,4117836
2015-04-01,4122876
2015-05-01,4127922
2015-06-01,4132974
2015-07-01,4138032
2015-08-01,4143096
2015-09-01,4148167
2015-10-01,4153244
2015-11-01,4158327
2015-12-01,4163416
2016-01-01,4168511
2016-02-01,4173613
2016-03-01,4178721
2016-04-01,4183835
2016-05-01,4188955
2016-06-01,4194082
2016-07-01,4199215
2016-08-01,4204354
2016-09-01,4209500
2016-10-01,4214652
2016-11-01,4219810
2016-12-01,4224974
2017-01-01,4230145
2017-02-01,4235322
2017-03-01,4240505
2017-04-01,4245695
2017-05-01,4250891
2017-06-01,4256094
2017-07-01,4261303
2017-08-01,4266518
2017-09-01,4271739
2017-10-01,4276967
2017-11-01,4282202
2017-12-01,4287443
2018-01-01,4292690
2018-02-01,4297943
2018-03-01,4303203
2018-04-01,4308470
2018-05-01,4313743
2018-06-01,4319022
2018-07-01,4324308
2018-08-01,4329600
2018-09-01,4334899
2018-10-01,4340205
2018-11-01,4345516
2018-12-01,4350835
2019-01-01,4356159
2019-02-01,4361491
2019-03-01,4366829
2019-04-01,4372173
2019-05-01,4377524
2019-06-01,4382881
2019-07-01,4388245
2019-08-01,4393616
2019-09-01,4398993
2019-10-01,4404377
2019-11-01,4409767
2019-12-01,4415164
2020-01-01,4420567
2020-02-01,4425978
2020-03-01,4431394
2020-04-01,4436818
2020-05-01,4442248
2020-06-01,4447684
2020-07-01,4453128
2020-08-01,4458578
2020-09-01,4464034
2020-10-01,4469498
2020-11-01,4474968
2020-12-01,4480444
2021-01-01,4485928
2021-02-01,4491418
2021-03-01,4496915
2021-04-01,4502418
2021-05-01,4507929
2021-06-01,4513446
2021-07-01,4518970
2021-08-01,4524500
2021-09-01,4530037
2021-10-01,4535582
2021-11-01,4541132
2021-12-01,4546690
2022-01-01,4552255
2022-02-01,4557826
2022-03-01,4563404
2022-04-01,4568989
2022-05-01,4574581
2022-06-01,4580179
2022-07-01,4585785
2022-08-01,4591397
2022-09-01,4597016
2022-10-01,4602643
2022-11-01,4608275
2022-12-01,4613915
2023-01-01,4619562
2023-02-01,4625216
2023-03-01,4630876
2023-04-01,4636544
2023-05-01,4642218
2023-06-01,4647900
2023-07-01,4653588
2023-08-01,4659283
2023-09-01,4664986
2023-10-01,4670695
2023-11-01,4676411
2023-12-01,4682134
2024-01-01,4687865
2024-02-01,4693602
2024-03-01,4699346
2024-04-01,4705098
2024-05-01,4710856
2024-06-01,4716621
2024-07-01,4722394
2024-08-01,4728173
2024-09-01,4733960
2024-10-01,4739754
2024-11-01,4745554
2024-12-01,4751362
2025-01-01,4757177
2025-02-01,4762999
2025-03-01,4768829
2025-04-01,4774665
2025-05-01,4780508
2025-06-01,4786359
2025-07-01,4792217
2025-08-01,4798082
2025-09-01,4803954
2025-10-01,4809833
2025-11-01,4815720
2025-12-01,4821614
2026-01-01,4827515
2026-02-01,4833423
2026-03-01,4839338
2026-04-01,4845261
2026-05-01,4851191
