time,Exponential_Population
1920-01-01,89576
1920-02-01,89966
1920-03-01,90358
1920-04-01,90752
1920-05-01,91148
1920-06-01,91545
1920-07-01,91944
1920-08-01,92345
1920-09-01,92748
1920-10-01,93152
1920-11-01,93558
1920-12-01,93966
1921-01-01,94375
1921-02-01,94787
1921-03-01,95200
1921-04-01,95615
1921-05-01,96032
1921-06-01,96451
1921-07-01,96871
1921-08-01,97293
1921-09-01,97718
1921-10-01,98144
1921-11-01,98571
1921-12-01,99001
1922-01-01,99433
1922-02-01,99866
1922-03-01,100302
1922-04-01,100739
1922-05-01,101178
1922-06-01,101619
1922-07-01,102062
1922-08-01,102507
1922-09-01,102954
1922-10-01,103403
1922-11-01,103853
1922-12-01,104306
1923-01-01,104761
1923-02-01,105218
1923-03-01,105676
1923-04-01,106137
1923-05-01,106600
1923-06-01,107064
1923-07-01,107531
1923-08-01,108000
1923-09-01,108471
1923-10-01,108944
1923-11-01,109419
1923-12-01,109896
1924-01-01,110375
1924-02-01,110856
1924-03-01,111339
1924-04-01,111824
1924-05-01,112312
1924-06-01,112802
1924-07-01,113293
1924-08-01,113787
1924-09-01,114283
1924-10-01,114781
1924-11-01,115282
1924-12-01,115784
1925-01-01,116289
1925-02-01,116796
1925-03-01,117305
1925-04-01,117817
1925-05-01,118330
1925-06-01,118846
1925-07-01,119364
1925-08-01,119885
1925-09-01,120407
1925-10-01,120932
1925-11-01,121459
1925-12-01,121989
1926-01-01,122521
1926-02-01,123055
1926-03-01,123591
1926-04-01,124130
1926-05-01,124671
1926-06-01,125215
1926-07-01,125761
1926-08-01,126309
1926-09-01,126859
1926-10-01,127412
1926-11-01,127968
1926-12-01,128526
1927-01-01,129086
1927-02-01,129649
1927-03-01,130214
1927-04-01,130782
1927-05-01,131352
1927-06-01,131924
1927-07-01,132500
1927-08-01,133077
1927-09-01,133657
1927-10-01,134240
1927-11-01,134825
1927-12-01,135413
1928-01-01,136003
1928-02-01,136596
1928-03-01,137192
1928-04-01,137790
1928-05-01,138390
1928-06-01,138994
1928-07-01,139600
1928-08-01,140208
1928-09-01,140819
1928-10-01,141433
1928-11-01,142050
1928-12-01,142669
1929-01-01,143291
1929-02-01,143916
1929-03-01,144543
1929-04-01,145173
1929-05-01,145806
1929-06-01,146442
1929-07-01,147080
1929-08-01,147721
1929-09-01,148365
1929-10-01,149012
1929-11-01,149662
1929-12-01,150314
1930-01-01,150970
1930-02-01,151234
1930-03-01,151498
1930-04-01,151763
1930-05-01,152028
1930-06-01,152294
1930-07-01,152561
1930-08-01,152828
1930-09-01,153095
1930-10-01,153363
