time,value
1904-01-01,236.7741935483871
1904-02-01,226.31034482758622
1904-03-01,184.03225806451613
1904-04-01,118.53333333333333
1904-05-01,126.29032258064517
1904-06-01,62.93333333333333
1904-07-01,729.0967741935484
1904-08-01,1624.6774193548388
1904-09-01,481.6
1904-10-01,188.06451612903226
1904-11-01,209.63333333333333
1904-12-01,240.90322580645162
1905-01-01,1419.9354838709678
1905-02-01,7713.0
1905-03-01,8780.645161290322
1905-04-01,5225.666666666667
1905-05-01,832.516129032258
1905-06-01,282.56666666666666
1905-07-01,245.3548387096774
1905-08-01,566.7741935483871
1905-09-01,771.3333333333334
1905-10-01,543.516129032258
1905-11-01,3432.7
1905-12-01,875.0967741935484
1906-01-01,811.8387096774194
1906-02-01,1201.8214285714287
1906-03-01,5467.5161290322585
1906-04-01,1029.1333333333334
1906-05-01,246.8709677419355
1906-06-01,149.86666666666667
1906-07-01,233.7741935483871
1906-08-01,742.9032258064516
1906-09-01,210.76666666666668
1906-10-01,181.29032258064515
1906-11-01,311.96666666666664
1906-12-01,2641.2903225806454
1907-01-01,2429.3548387096776
1907-02-01,2618.9285714285716
1907-03-01,3766.967741935484
1907-04-01,838.1333333333333
1907-05-01,251.29032258064515
1907-06-01,208.86666666666667
1907-07-01,217.16129032258064
1907-08-01,430.2903225806452
1907-09-01,403.8666666666667
1907-10-01,614.258064516129
1907-11-01,375.2
1907-12-01,323.38709677419354
1908-01-01,306.48387096774195
1908-02-01,1972.551724137931
1908-03-01,1395.4193548387098
1908-04-01,301.1666666666667
1908-05-01,443.3225806451613
1908-06-01,145.63333333333333
1908-07-01,462.48387096774195
1908-08-01,879.8709677419355
1908-09-01,356.4
1908-10-01,264.741935483871
1908-11-01,281.46666666666664
1908-12-01,3128.6774193548385
1909-01-01,1760.4193548387098
1909-02-01,1458.7142857142858
1909-03-01,2029.3548387096773
1909-04-01,1257.9
1909-05-01,199.90322580645162
1909-06-01,135.23333333333332
1909-07-01,379.03225806451616
1909-08-01,1254.7096774193549
1909-09-01,475.2
1909-10-01,160.16129032258064
1909-11-01,221.13333333333333
1909-12-01,354.2258064516129
1910-01-01,
1910-02-01,
1910-03-01,
1910-04-01,
1910-05-01,
1910-06-01,
1910-07-01,
1910-08-01,
1910-09-01,
1910-10-01,
1910-11-01,
1910-12-01,
1911-01-01,
1911-02-01,
1911-03-01,
1911-04-01,
1911-05-01,
1911-06-01,
1911-07-01,
1911-08-01,
1911-09-01,
1911-10-01,
1911-11-01,
1911-12-01,
1912-01-01,
1912-02-01,
1912-03-01,
1912-04-01,
1912-05-01,
1912-06-01,
1912-07-01,
1912-08-01,
1912-09-01,
1912-10-01,
1912-11-01,
1912-12-01,
1913-01-01,
1913-02-01,
1913-03-01,
1913-04-01,
1913-05-01,
1913-06-01,
1913-07-01,
1913-08-01,
1913-09-01,
1913-10-01,204.3548387096774
1913-11-01,338.53333333333336
1913-12-01,306.4516129032258
1914-01-01,956.741935483871
1914-02-01,3044.6428571428573
1914-03-01,716.5483870967741
1914-04-01,251.46666666666667
1914-05-01,153.8709677419355
1914-06-01,113.63333333333334
1914-07-01,204.0
1914-08-01,234.38709677419354
1914-09-01,229.8
1914-10-01,326.93548387096774
1914-11-01,269.73333333333335
1914-12-01,652.0967741935484
1915-01-01,1242.258064516129
1915-02-01,2447.4285714285716
1915-03-01,3590.967741935484
1915-04-01,2180.5
1915-05-01,2662.5806451612902
1915-06-01,206.86666666666667
1915-07-01,326.83870967741933
1915-08-01,348.5806451612903
1915-09-01,231.13333333333333
1915-10-01,177.38709677419354
1915-11-01,248.53333333333333
1915-12-01,392.7096774193548
1916-01-01,8231.129032258064
1916-02-01,3765.5172413793102
1916-03-01,5183.870967741936
1916-04-01,696.0
1916-05-01,231.5483870967742
1916-06-01,158.93333333333334
1916-07-01,201.0
1916-08-01,507.51612903225805
1916-09-01,1296.0333333333333
1916-10-01,725.8387096774194
1916-11-01,326.8333333333333
1916-12-01,340.4516129032258
1917-01-01,1222.1612903225807
1917-02-01,1495.357142857143
1917-03-01,1758.7096774193549
1917-04-01,6002.333333333333
1917-05-01,1253.1612903225807
1917-06-01,234.4
1917-07-01,417.03225806451616
1917-08-01,726.516129032258
1917-09-01,388.53333333333336
1917-10-01,247.0
1917-11-01,243.1
1917-12-01,265.9032258064516
1918-01-01,393.93548387096774
1918-02-01,904.5
1918-03-01,4612.548387096775
1918-04-01,355.23333333333335
1918-05-01,159.83870967741936
1918-06-01,137.3
1918-07-01,191.09677419354838
1918-08-01,544.5483870967741
1918-09-01,190.33333333333334
1918-10-01,193.38709677419354
1918-11-01,345.8
1918-12-01,457.7741935483871
1919-01-01,345.4193548387097
1919-02-01,953.0357142857143
1919-03-01,1560.0
1919-04-01,1332.9666666666667
1919-05-01,173.06451612903226
1919-06-01,118.36666666666666
1919-07-01,2125.8064516129034
1919-08-01,905.6774193548387
1919-09-01,471.1
1919-10-01,741.4193548387096
1919-11-01,2849.6
1919-12-01,2229.516129032258
1920-01-01,2235.2258064516127
1920-02-01,8955.51724137931
1920-03-01,1883.4516129032259
1920-04-01,1040.8333333333333
1920-05-01,305.48387096774195
1920-06-01,208.53333333333333
1920-07-01,179.70967741935485
1920-08-01,455.5483870967742
1920-09-01,227.7
1920-10-01,240.83870967741936
1920-11-01,463.06666666666666
1920-12-01,341.7741935483871
1921-01-01,315.3225806451613
1921-02-01,334.67857142857144
1921-03-01,522.4193548387096
1921-04-01,235.6
1921-05-01,167.38709677419354
1921-06-01,125.9
1921-07-01,296.4516129032258
1921-08-01,1694.6774193548388
1921-09-01,367.3333333333333
1921-10-01,442.16129032258067
1921-11-01,287.8666666666667
1921-12-01,1436.9032258064517
1922-01-01,2594.2258064516127
1922-02-01,2749.214285714286
1922-03-01,3279.0
1922-04-01,1070.2
1922-05-01,256.48387096774195
1922-06-01,162.76666666666668
1922-07-01,208.5483870967742
1922-08-01,332.6774193548387
1922-09-01,239.9
1922-10-01,184.70967741935485
1922-11-01,282.6666666666667
1922-12-01,1229.1290322580646
1923-01-01,347.258064516129
1923-02-01,1222.4642857142858
1923-03-01,2207.3870967741937
1923-04-01,793.6333333333333
1923-05-01,193.19354838709677
1923-06-01,115.86666666666666
1923-07-01,198.70967741935485
1923-08-01,254.1290322580645
1923-09-01,1929.1333333333334
1923-10-01,269.6774193548387
1923-11-01,967.5
1923-12-01,3499.9032258064517
1924-01-01,993.8387096774194
1924-02-01,358.2758620689655
1924-03-01,522.741935483871
1924-04-01,1645.5
1924-05-01,171.90322580645162
1924-06-01,99.2
1924-07-01,186.80645161290323
1924-08-01,104.7741935483871
1924-09-01,201.8
1924-10-01,227.74193548387098
1924-11-01,212.33333333333334
1924-12-01,433.3225806451613
1925-01-01,298.35483870967744
1925-02-01,328.82142857142856
1925-03-01,413.0
1925-04-01,451.8333333333333
1925-05-01,204.0
1925-06-01,123.8
1925-07-01,204.16129032258064
1925-08-01,354.06451612903226
1925-09-01,1127.5333333333333
1925-10-01,779.2258064516129
1925-11-01,341.1333333333333
1925-12-01,367.80645161290323
1926-01-01,298.16129032258067
1926-02-01,293.10714285714283
1926-03-01,720.1612903225806
1926-04-01,4422.566666666667
1926-05-01,407.741935483871
1926-06-01,117.16666666666667
1926-07-01,193.48387096774192
1926-08-01,248.25806451612902
1926-09-01,346.53333333333336
1926-10-01,246.48387096774192
1926-11-01,214.83333333333334
1926-12-01,432.06451612903226
1927-01-01,319.5806451612903
1927-02-01,7079.571428571428
1927-03-01,2029.258064516129
1927-04-01,808.7666666666667
1927-05-01,194.83870967741936
1927-06-01,202.03333333333333
1927-07-01,259.48387096774195
1927-08-01,473.9032258064516
1927-09-01,1828.8333333333333
1927-10-01,278.5806451612903
1927-11-01,297.2
1927-12-01,424.35483870967744
1928-01-01,479.7096774193548
1928-02-01,1421.3793103448277
1928-03-01,995.483870967742
1928-04-01,240.6
1928-05-01,168.58064516129033
1928-06-01,112.33333333333333
1928-07-01,132.51612903225808
1928-08-01,482.19354838709677
1928-09-01,188.93333333333334
1928-10-01,263.1290322580645
1928-11-01,274.8333333333333
1928-12-01,302.80645161290323
1929-01-01,319.6774193548387
1929-02-01,411.5357142857143
1929-03-01,1368.3870967741937
1929-04-01,2139.9333333333334
1929-05-01,149.2258064516129
1929-06-01,115.7
1929-07-01,164.0
1929-08-01,581.1290322580645
1929-09-01,390.26666666666665
1929-10-01,175.41935483870967
1929-11-01,217.36666666666667
1929-12-01,233.7741935483871
1930-01-01,290.5483870967742
1930-02-01,443.39285714285717
1930-03-01,1341.0967741935483
1930-04-01,545.0
1930-05-01,175.4516129032258
1930-06-01,98.76666666666667
1930-07-01,311.5483870967742
1930-08-01,624.483870967742
1930-09-01,282.9
1930-10-01,224.90322580645162
1930-11-01,513.9
1930-12-01,356.4193548387097
1931-01-01,228.93548387096774
1931-02-01,3018.714285714286
1931-03-01,638.7096774193549
1931-04-01,252.3
1931-05-01,245.58064516129033
1931-06-01,97.0
1931-07-01,161.3548387096774
1931-08-01,779.0967741935484
1931-09-01,376.0
1931-10-01,213.06451612903226
1931-11-01,599.9666666666667
1931-12-01,948.0322580645161
1932-01-01,477.6774193548387
1932-02-01,6453.517241379311
1932-03-01,3640.0
1932-04-01,777.1333333333333
1932-05-01,199.1290322580645
1932-06-01,137.46666666666667
1932-07-01,224.09677419354838
1932-08-01,246.67741935483872
1932-09-01,134.0
1932-10-01,292.38709677419354
1932-11-01,208.0
1932-12-01,294.06451612903226
1933-01-01,382.16129032258067
1933-02-01,364.10714285714283
1933-03-01,726.0967741935484
1933-04-01,299.43333333333334
1933-05-01,344.48387096774195
1933-06-01,148.26666666666668
1933-07-01,182.29032258064515
1933-08-01,163.96774193548387
1933-09-01,231.46666666666667
1933-10-01,232.6451612903226
1933-11-01,206.3
1933-12-01,253.16129032258064
1934-01-01,259.7741935483871
1934-02-01,269.2857142857143
1934-03-01,225.96774193548387
1934-04-01,257.46666666666664
1934-05-01,120.38709677419355
1934-06-01,105.53333333333333
1934-07-01,124.19354838709677
1934-08-01,451.5806451612903
1934-09-01,215.0
1934-10-01,165.96774193548387
1934-11-01,267.4
1934-12-01,316.6774193548387
1935-01-01,1045.6129032258063
1935-02-01,2235.9285714285716
1935-03-01,1971.225806451613
1935-04-01,999.9
1935-05-01,183.06451612903226
1935-06-01,114.36666666666666
1935-07-01,120.25806451612904
1935-08-01,592.0967741935484
1935-09-01,485.1
1935-10-01,238.19354838709677
1935-11-01,246.5
1935-12-01,278.1290322580645
1936-01-01,265.3225806451613
1936-02-01,866.2413793103449
1936-03-01,969.4516129032259
1936-04-01,691.8
1936-05-01,149.6451612903226
1936-06-01,92.53333333333333
1936-07-01,223.32258064516128
1936-08-01,434.38709677419354
1936-09-01,318.06666666666666
1936-10-01,211.09677419354838
1936-11-01,312.1333333333333
1936-12-01,290.64516129032256
1937-01-01,461.38709677419354
1937-02-01,6332.892857142857
1937-03-01,4076.451612903226
1937-04-01,1420.4
1937-05-01,187.7741935483871
1937-06-01,142.03333333333333
1937-07-01,216.3548387096774
1937-08-01,163.41935483870967
1937-09-01,186.83333333333334
1937-10-01,204.67741935483872
1937-11-01,214.73333333333332
1937-12-01,262.38709677419354
1938-01-01,271.80645161290323
1938-02-01,406.2857142857143
1938-03-01,4714.645161290323
1938-04-01,223.4
1938-05-01,127.87096774193549
1938-06-01,98.73333333333333
1938-07-01,137.93548387096774
1938-08-01,289.5483870967742
1938-09-01,202.76666666666668
1938-10-01,162.67741935483872
1938-11-01,202.03333333333333
1938-12-01,389.1290322580645
1939-01-01,296.80645161290323
1939-02-01,338.39285714285717
1939-03-01,805.8387096774194
1939-04-01,395.9
1939-05-01,128.80645161290323
1939-06-01,86.13333333333334
1939-07-01,82.51612903225806
1939-08-01,297.2903225806452
1939-09-01,967.5
1939-10-01,421.7741935483871
1939-11-01,274.76666666666665
1939-12-01,388.4193548387097
1940-01-01,297.1290322580645
1940-02-01,545.9655172413793
1940-03-01,667.8387096774194
1940-04-01,342.53333333333336
1940-05-01,154.48387096774192
1940-06-01,90.63333333333334
1940-07-01,146.0
1940-08-01,281.258064516129
1940-09-01,343.3666666666667
1940-10-01,531.1935483870968
1940-11-01,446.8666666666667
1940-12-01,302.35483870967744
1941-01-01,466.06451612903226
1941-02-01,3373.9285714285716
