time,salt_downstream,salt_upstream,verde_downstream,verde_upstream,salt_downstream_lag_1,salt_downstream_lag_2,salt_downstream_lag_3,salt_downstream_lag_4,salt_downstream_lag_5,salt_downstream_lag_6,salt_downstream_lag_7,salt_downstream_lag_8,salt_downstream_lag_9,salt_downstream_lag_10,salt_downstream_lag_11,salt_downstream_lag_12,salt_upstream_lag_1,salt_upstream_lag_2,salt_upstream_lag_3,salt_upstream_lag_4,salt_upstream_lag_5,salt_upstream_lag_6,salt_upstream_lag_7,salt_upstream_lag_8,salt_upstream_lag_9,salt_upstream_lag_10,salt_upstream_lag_11,salt_upstream_lag_12,verde_downstream_lag_1,verde_downstream_lag_2,verde_downstream_lag_3,verde_downstream_lag_4,verde_downstream_lag_5,verde_downstream_lag_6,verde_downstream_lag_7,verde_downstream_lag_8,verde_downstream_lag_9,verde_downstream_lag_10,verde_downstream_lag_11,verde_downstream_lag_12,verde_upstream_lag_1,verde_upstream_lag_2,verde_upstream_lag_3,verde_upstream_lag_4,verde_upstream_lag_5,verde_upstream_lag_6,verde_upstream_lag_7,verde_upstream_lag_8,verde_upstream_lag_9,verde_upstream_lag_10,verde_upstream_lag_11,verde_upstream_lag_12,ama_water_supply,maricopa_population,operational_mw_total
1904-01-01,,,5.471321456704143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904-02-01,,,5.426316241602834,,,,,,,,,,,,,,,,,,,,,,,,,,5.471321456704143,,,,,,,,,,,,,,,,,,,,,,,,,,
1904-03-01,,,5.22053017779431,,,,,,,,,,,,,,,,,,,,,,,,,,5.426316241602834,5.471321456704143,,,,,,,,,,,,,,,,,,,,,,,,,
1904-04-01,,,4.7835952725029225,,,,,,,,,,,,,,,,,,,,,,,,,,5.22053017779431,5.426316241602834,5.471321456704143,,,,,,,,,,,,,,,,,,,,,,,,
1904-05-01,,,4.846470482097415,,,,,,,,,,,,,,,,,,,,,,,,,,4.7835952725029225,5.22053017779431,5.426316241602834,5.471321456704143,,,,,,,,,,,,,,,,,,,,,,,
1904-06-01,,,4.157840873781228,,,,,,,,,,,,,,,,,,,,,,,,,,4.846470482097415,4.7835952725029225,5.22053017779431,5.426316241602834,5.471321456704143,,,,,,,,,,,,,,,,,,,,,,
1904-07-01,,,6.59317709274458,,,,,,,,,,,,,,,,,,,,,,,,,,4.157840873781228,4.846470482097415,4.7835952725029225,5.22053017779431,5.426316241602834,5.471321456704143,,,,,,,,,,,,,,,,,,,,,
1904-08-01,,,7.393679881345374,,,,,,,,,,,,,,,,,,,,,,,,,,6.59317709274458,4.157840873781228,4.846470482097415,4.7835952725029225,5.22053017779431,5.426316241602834,5.471321456704143,,,,,,,,,,,,,,,,,,,,
1904-09-01,,,6.179188153190932,,,,,,,,,,,,,,,,,,,,,,,,,,7.393679881345374,6.59317709274458,4.157840873781228,4.846470482097415,4.7835952725029225,5.22053017779431,5.426316241602834,5.471321456704143,,,,,,,,,,,,,,,,,,,
1904-10-01,,,5.242088311991282,,,,,,,,,,,,,,,,,,,,,,,,,,6.179188153190932,7.393679881345374,6.59317709274458,4.157840873781228,4.846470482097415,4.7835952725029225,5.22053017779431,5.426316241602834,5.471321456704143,,,,,,,,,,,,,,,,,,
1904-11-01,,,5.3501188651113,,,,,,,,,,,,,,,,,,,,,,,,,,5.242088311991282,6.179188153190932,7.393679881345374,6.59317709274458,4.157840873781228,4.846470482097415,4.7835952725029225,5.22053017779431,5.426316241602834,5.471321456704143,,,,,,,,,,,,,,,,,
1904-12-01,,,5.488537752816243,,,,,,,,,,,,,,,,,,,,,,,,,,5.3501188651113,5.242088311991282,6.179188153190932,7.393679881345374,6.59317709274458,4.157840873781228,4.846470482097415,4.7835952725029225,5.22053017779431,5.426316241602834,5.471321456704143,,,,,,,,,,,,,,,,
1905-01-01,,,7.259070725145901,,,,,,,,,,,,,,,,,,,,,,,,,,5.488537752816243,5.3501188651113,5.242088311991282,6.179188153190932,7.393679881345374,6.59317709274458,4.157840873781228,4.846470482097415,4.7835952725029225,5.22053017779431,5.426316241602834,5.471321456704143,,,,,,,,,,,,,,,
1905-02-01,,,8.950792138768174,,,,,,,,,,,,,,,,,,,,,,,,,,7.259070725145901,5.488537752816243,5.3501188651113,5.242088311991282,6.179188153190932,7.393679881345374,6.59317709274458,4.157840873781228,4.846470482097415,4.7835952725029225,5.22053017779431,5.426316241602834,,,,,,,,,,,,,,,
1905-03-01,,,9.080419045077647,,,,,,,,,,,,,,,,,,,,,,,,,,8.950792138768174,7.259070725145901,5.488537752816243,5.3501188651113,5.242088311991282,6.179188153190932,7.393679881345374,6.59317709274458,4.157840873781228,4.846470482097415,4.7835952725029225,5.22053017779431,,,,,,,,,,,,,,,
1905-04-01,,,8.56152900523629,,,,,,,,,,,,,,,,,,,,,,,,,,9.080419045077647,8.950792138768174,7.259070725145901,5.488537752816243,5.3501188651113,5.242088311991282,6.179188153190932,7.393679881345374,6.59317709274458,4.157840873781228,4.846470482097415,4.7835952725029225,,,,,,,,,,,,,,,
1905-05-01,,,6.725653052972137,,,,,,,,,,,,,,,,,,,,,,,,,,8.56152900523629,9.080419045077647,8.950792138768174,7.259070725145901,5.488537752816243,5.3501188651113,5.242088311991282,6.179188153190932,7.393679881345374,6.59317709274458,4.157840873781228,4.846470482097415,,,,,,,,,,,,,,,
1905-06-01,,,5.647447251313729,,,,,,,,,,,,,,,,,,,,,,,,,,6.725653052972137,8.56152900523629,9.080419045077647,8.950792138768174,7.259070725145901,5.488537752816243,5.3501188651113,5.242088311991282,6.179188153190932,7.393679881345374,6.59317709274458,4.157840873781228,,,,,,,,,,,,,,,
1905-07-01,,,5.506772930403238,,,,,,,,,,,,,,,,,,,,,,,,,,5.647447251313729,6.725653052972137,8.56152900523629,9.080419045077647,8.950792138768174,7.259070725145901,5.488537752816243,5.3501188651113,5.242088311991282,6.179188153190932,7.393679881345374,6.59317709274458,,,,,,,,,,,,,,,
1905-08-01,,,6.341723793108823,,,,,,,,,,,,,,,,,,,,,,,,,,5.506772930403238,5.647447251313729,6.725653052972137,8.56152900523629,9.080419045077647,8.950792138768174,7.259070725145901,5.488537752816243,5.3501188651113,5.242088311991282,6.179188153190932,7.393679881345374,,,,,,,,,,,,,,,
1905-09-01,,,6.649416235764266,,,,,,,,,,,,,,,,,,,,,,,,,,6.341723793108823,5.506772930403238,5.647447251313729,6.725653052972137,8.56152900523629,9.080419045077647,8.950792138768174,7.259070725145901,5.488537752816243,5.3501188651113,5.242088311991282,6.179188153190932,,,,,,,,,,,,,,,
1905-10-01,,,6.299897563664802,,,,,,,,,,,,,,,,,,,,,,,,,,6.649416235764266,6.341723793108823,5.506772930403238,5.647447251313729,6.725653052972137,8.56152900523629,9.080419045077647,8.950792138768174,7.259070725145901,5.488537752816243,5.3501188651113,5.242088311991282,,,,,,,,,,,,,,,
1905-11-01,,,8.141393675963823,,,,,,,,,,,,,,,,,,,,,,,,,,6.299897563664802,6.649416235764266,6.341723793108823,5.506772930403238,5.647447251313729,6.725653052972137,8.56152900523629,9.080419045077647,8.950792138768174,7.259070725145901,5.488537752816243,5.3501188651113,,,,,,,,,,,,,,,
1905-12-01,,,6.775476557658404,,,,,,,,,,,,,,,,,,,,,,,,,,8.141393675963823,6.299897563664802,6.649416235764266,6.341723793108823,5.506772930403238,5.647447251313729,6.725653052972137,8.56152900523629,9.080419045077647,8.950792138768174,7.259070725145901,5.488537752816243,,,,,,,,,,,,,,,
1906-01-01,,,6.700532700785429,,,,,,,,,,,,,,,,,,,,,,,,,,6.775476557658404,8.141393675963823,6.299897563664802,6.649416235764266,6.341723793108823,5.506772930403238,5.647447251313729,6.725653052972137,8.56152900523629,9.080419045077647,8.950792138768174,7.259070725145901,,,,,,,,,,,,,,,
1906-02-01,,,7.092425266528865,,,,,,,,,,,,,,,,,,,,,,,,,,6.700532700785429,6.775476557658404,8.141393675963823,6.299897563664802,6.649416235764266,6.341723793108823,5.506772930403238,5.647447251313729,6.725653052972137,8.56152900523629,9.080419045077647,8.950792138768174,,,,,,,,,,,,,,,
1906-03-01,,,8.606762584214518,,,,,,,,,,,,,,,,,,,,,,,,,,7.092425266528865,6.700532700785429,6.775476557658404,8.141393675963823,6.299897563664802,6.649416235764266,6.341723793108823,5.506772930403238,5.647447251313729,6.725653052972137,8.56152900523629,9.080419045077647,,,,,,,,,,,,,,,
1906-04-01,,,6.937443522683962,,,,,,,,,,,,,,,,,,,,,,,,,,8.606762584214518,7.092425266528865,6.700532700785429,6.775476557658404,8.141393675963823,6.299897563664802,6.649416235764266,6.341723793108823,5.506772930403238,5.647447251313729,6.725653052972137,8.56152900523629,,,,,,,,,,,,,,,
1906-05-01,,,5.512908319403301,,,,,,,,,,,,,,,,,,,,,,,,,,6.937443522683962,8.606762584214518,7.092425266528865,6.700532700785429,6.775476557658404,8.141393675963823,6.299897563664802,6.649416235764266,6.341723793108823,5.506772930403238,5.647447251313729,6.725653052972137,,,,,,,,,,,,,,,
1906-06-01,,,5.016396444531328,,,,,,,,,,,,,,,,,,,,,,,,,,5.512908319403301,6.937443522683962,8.606762584214518,7.092425266528865,6.700532700785429,6.775476557658404,8.141393675963823,6.299897563664802,6.649416235764266,6.341723793108823,5.506772930403238,5.647447251313729,,,,,,,,,,,,,,,
1906-07-01,,,5.458624173686959,,,,,,,,,,,,,,,,,,,,,,,,,,5.016396444531328,5.512908319403301,6.937443522683962,8.606762584214518,7.092425266528865,6.700532700785429,6.775476557658404,8.141393675963823,6.299897563664802,6.649416235764266,6.341723793108823,5.506772930403238,,,,,,,,,,,,,,,
1906-08-01,,,6.611910953532095,,,,,,,,,,,,,,,,,,,,,,,,,,5.458624173686959,5.016396444531328,5.512908319403301,6.937443522683962,8.606762584214518,7.092425266528865,6.700532700785429,6.775476557658404,8.141393675963823,6.299897563664802,6.649416235764266,6.341723793108823,,,,,,,,,,,,,,,
1906-09-01,,,5.355485039604378,,,,,,,,,,,,,,,,,,,,,,,,,,6.611910953532095,5.458624173686959,5.016396444531328,5.512908319403301,6.937443522683962,8.606762584214518,7.092425266528865,6.700532700785429,6.775476557658404,8.141393675963823,6.299897563664802,6.649416235764266,,,,,,,,,,,,,,,
1906-10-01,,,5.205600595144697,,,,,,,,,,,,,,,,,,,,,,,,,,5.355485039604378,6.611910953532095,5.458624173686959,5.016396444531328,5.512908319403301,6.937443522683962,8.606762584214518,7.092425266528865,6.700532700785429,6.775476557658404,8.141393675963823,6.299897563664802,,,,,,,,,,,,,,,
1906-11-01,,,5.746096688596392,,,,,,,,,,,,,,,,,,,,,,,,,,5.205600595144697,5.355485039604378,6.611910953532095,5.458624173686959,5.016396444531328,5.512908319403301,6.937443522683962,8.606762584214518,7.092425266528865,6.700532700785429,6.775476557658404,8.141393675963823,,,,,,,,,,,,,,,
1906-12-01,,,7.879401366471527,,,,,,,,,,,,,,,,,,,,,,,,,,5.746096688596392,5.205600595144697,5.355485039604378,6.611910953532095,5.458624173686959,5.016396444531328,5.512908319403301,6.937443522683962,8.606762584214518,7.092425266528865,6.700532700785429,6.775476557658404,,,,,,,,,,,,,,,
1907-01-01,,,7.795792549834466,,,,,,,,,,,,,,,,,,,,,,,,,,7.879401366471527,5.746096688596392,5.205600595144697,5.355485039604378,6.611910953532095,5.458624173686959,5.016396444531328,5.512908319403301,6.937443522683962,8.606762584214518,7.092425266528865,6.700532700785429,,,,,,,,,,,,,,,
1907-02-01,,,7.870902333569983,,,,,,,,,,,,,,,,,,,,,,,,,,7.795792549834466,7.879401366471527,5.746096688596392,5.205600595144697,5.355485039604378,6.611910953532095,5.458624173686959,5.016396444531328,5.512908319403301,6.937443522683962,8.606762584214518,7.092425266528865,,,,,,,,,,,,,,,
1907-03-01,,,8.234291074602146,,,,,,,,,,,,,,,,,,,,,,,,,,7.870902333569983,7.795792549834466,7.879401366471527,5.746096688596392,5.205600595144697,5.355485039604378,6.611910953532095,5.458624173686959,5.016396444531328,5.512908319403301,6.937443522683962,8.606762584214518,,,,,,,,,,,,,,,
1907-04-01,,,6.732369613189295,,,,,,,,,,,,,,,,,,,,,,,,,,8.234291074602146,7.870902333569983,7.795792549834466,7.879401366471527,5.746096688596392,5.205600595144697,5.355485039604378,6.611910953532095,5.458624173686959,5.016396444531328,5.512908319403301,6.937443522683962,,,,,,,,,,,,,,,
1907-05-01,,,5.530580498116465,,,,,,,,,,,,,,,,,,,,,,,,,,6.732369613189295,8.234291074602146,7.870902333569983,7.795792549834466,7.879401366471527,5.746096688596392,5.205600595144697,5.355485039604378,6.611910953532095,5.458624173686959,5.016396444531328,5.512908319403301,,,,,,,,,,,,,,,
1907-06-01,,,5.346472408435083,,,,,,,,,,,,,,,,,,,,,,,,,,5.530580498116465,6.732369613189295,8.234291074602146,7.870902333569983,7.795792549834466,7.879401366471527,5.746096688596392,5.205600595144697,5.355485039604378,6.611910953532095,5.458624173686959,5.016396444531328,,,,,,,,,,,,,,,
1907-07-01,,,5.385234653089793,,,,,,,,,,,,,,,,,,,,,,,,,,5.346472408435083,5.530580498116465,6.732369613189295,8.234291074602146,7.870902333569983,7.795792549834466,7.879401366471527,5.746096688596392,5.205600595144697,5.355485039604378,6.611910953532095,5.458624173686959,,,,,,,,,,,,,,,
1907-08-01,,,6.066781465610843,,,,,,,,,,,,,,,,,,,,,,,,,,5.385234653089793,5.346472408435083,5.530580498116465,6.732369613189295,8.234291074602146,7.870902333569983,7.795792549834466,7.879401366471527,5.746096688596392,5.205600595144697,5.355485039604378,6.611910953532095,,,,,,,,,,,,,,,
