year,quantity
1985,367146
1986,413154
1987,383850
1988,448694
1989,450473
1990,272083
1991,418856
1992,248811
1993,291624
1994,366067
1995,340812
1996,321061
1997,240779
1998,302313
1999,244004
2000,200200
2001,229156
2002,197274
2003,113511
2004,132633
2005,219745
2006,212620
2007,174020
2008,187914
2009,174661
2010,160935
2011,198867
2012,189129
2013,194021
2014,135801
2015,126125
2016,143246
2017,162939
2018,89262
2019,90011
2020,114044
2021,126377
2022,127109
2023,145092
2024,141499
