time,temp_maricopa,precip_maricopa,Temp_Salt,Temp_Verde,Precip_Salt,Precip_Verde,flow_verde_downstream,flow_salt_upstream,flow_salt_downstream,flow_verde_upstream,ama_quantity
1895-01-01,11.525407,74211.484,2.0165374,1.5487777,71669.25,134251.94,,,,,
1895-02-01,13.477033,5563.963,2.4887345,3.5754113,17260.508,12643.464,,,,,
1895-03-01,15.974886,1110.3701,5.9150515,7.4707656,4439.287,9704.54,,,,,
1895-04-01,20.032337,296.8828,9.875881,12.606539,2930.791,1849.8154,,,,,
1895-05-01,23.8909,1550.4785,14.626182,15.331393,10896.962,8430.881,,,,,
1895-06-01,26.699776,152.31152,17.711035,17.756332,1595.7227,3723.21,,,,,
1895-07-01,30.32776,29917.432,21.075556,22.687328,25615.307,13233.207,,,,,
1895-08-01,29.971018,42701.832,20.277365,22.49692,58181.668,50875.734,,,,,
1895-09-01,27.534513,10229.833,17.484217,19.246143,33494.438,18931.207,,,,,
1895-10-01,22.446583,34158.805,12.078137,13.686603,35938.48,22790.02,,,,,
1895-11-01,14.293579,35035.31,3.8533046,4.8840985,65461.344,65364.586,,,,,
1895-12-01,9.960882,5780.129,-0.23844531,0.994251,11635.433,12630.311,,,,,
1896-01-01,13.878148,25713.41,3.4766421,4.4238963,11795.478,14322.157,,,,,
1896-02-01,14.706517,1349.6152,3.4524891,4.9458704,9317.339,2684.4453,,,,,
1896-03-01,16.817661,14707.698,6.879789,7.6850286,17251.773,36676.484,,,,,
1896-04-01,17.809738,1937.915,8.672737,9.55437,4575.868,17369.46,,,,,
1896-05-01,23.52051,0.6386719,14.21352,15.633125,0.12695312,703.08496,,,,,
1896-06-01,30.076488,241.36621,20.118198,21.822212,9297.087,437.91016,,,,,
1896-07-01,30.128397,104555.05,20.268387,22.651192,63632.844,62807.566,,,,,
1896-08-01,30.541164,41755.4,19.963116,22.465794,46173.844,67119.55,,,,,
1896-09-01,28.151575,31674.238,17.400478,18.934992,49780.547,34924.348,,,,,
1896-10-01,22.333166,71144.92,11.456062,13.327368,79486.766,81197.78,,,,,
1896-11-01,15.1562395,22865.621,6.1189156,6.571127,17361.92,20734.805,,,,,
1896-12-01,12.763861,18418.129,2.9481547,4.0771136,13877.856,14833.664,,,,,
1897-01-01,12.27557,107519.64,1.5619234,3.3753874,88131.51,89146.81,,,,,
1897-02-01,11.36404,25805.467,1.7274797,3.5791328,26691.934,30496.906,,,,,
1897-03-01,12.497639,16164.505,3.4142423,4.851777,31181.883,22109.207,,,,,
1897-04-01,19.69533,669.58594,9.953378,10.393046,2058.1367,6033.3115,,,,,
1897-05-01,24.868975,2216.9102,15.4111395,16.638535,3520.121,7473.337,,,,,
1897-06-01,27.42501,384.37695,17.992764,19.270315,4388.671,1765.624,,,,,
1897-07-01,31.291027,8458.932,21.668463,23.05283,34403.914,15945.188,,,,,
1897-08-01,31.408234,42683.914,21.478252,23.35676,53688.25,38734.8,,,,,
1897-09-01,27.737358,49293.727,18.328758,19.170794,58064.402,79242.84,,,,,
1897-10-01,19.887636,4822.827,11.696547,11.805616,18049.293,19213.287,,,,,
1897-11-01,15.405007,5.6757812,7.4350657,8.1889305,457.25293,559.0537,,,,,
1897-12-01,9.667149,11023.433,1.3786141,1.2274706,16187.0205,21590.426,,,,,
1898-01-01,8.450204,67201.875,-1.5343609,-0.1027754,62762.906,63046.383,,,,,
1898-02-01,14.739529,1199.3096,4.7507687,6.070341,4552.756,3640.1914,,,,,
1898-03-01,13.924783,12555.049,5.421511,5.9110813,19718.031,22997.451,,,,,
1898-04-01,21.183493,3170.1963,12.485192,14.176384,16814.549,14250.833,,,,,
1898-05-01,22.31696,1638.3506,13.5639715,14.5786705,4762.2,22672.22,,,,,
1898-06-01,28.622444,6587.998,20.029577,21.627064,31242.05,15588.01,,,,,
1898-07-01,32.03665,25723.191,22.840954,24.188438,54615.0,41238.055,,,,,
1898-08-01,31.398401,43364.195,21.896873,23.12366,69684.86,60251.89,,,,,
1898-09-01,27.971888,750.6465,18.567411,19.565441,7347.163,422.29492,,,,,
1898-10-01,20.670057,0.0,12.023768,13.639547,0.47558594,0.0,,,,,
1898-11-01,13.777723,12509.217,5.809672,6.9285154,15212.033,12434.498,,,,,
1898-12-01,9.414726,60734.95,-1.5317594,-0.34737912,46839.516,48321.688,,,,,
1899-01-01,10.184425,44323.21,-0.1605,0.36207193,23979.303,31419.646,,,,,
1899-02-01,11.427319,9962.377,2.5785375,3.593306,13286.727,21665.229,,,,,
1899-03-01,14.679367,1113.2656,6.6003547,6.707017,4205.9404,8935.491,,,,,
1899-04-01,19.22667,1492.2529,10.247811,11.245215,6073.2715,1601.3945,,,,,
1899-05-01,20.293007,17.635742,12.950472,11.9676075,60.08203,136.76562,,,,,
1899-06-01,27.96477,6474.0967,19.507349,20.016459,26529.676,18128.414,,,,,
1899-07-01,31.166975,42986.504,22.288757,23.36748,56072.824,43946.875,,,,,
1899-08-01,28.961748,26728.715,20.22916,21.18244,32494.273,21934.273,,,,,
1899-09-01,28.602541,33290.6,18.974527,21.339666,26941.379,13588.923,,,,,
1899-10-01,19.286652,12114.249,11.448567,11.339433,15589.833,29642.227,,,,,
1899-11-01,15.631835,23568.047,6.6905203,7.955709,15528.507,16095.123,,,,,
1899-12-01,11.518098,2753.7266,3.2757032,3.8046384,3416.7393,7834.498,,,,,
1900-01-01,12.334067,3068.1133,4.5404515,5.3827934,5958.6816,7378.547,,,,,
1900-02-01,12.859184,1781.0322,3.207289,5.136402,9641.926,2619.2588,,,,,
1900-03-01,17.79605,23334.055,9.280963,9.919816,23658.14,12755.185,,,,,
1900-04-01,16.748678,40287.37,8.991835,7.40694,37419.195,67737.92,,,,,
1900-05-01,23.539516,3266.5596,15.917247,15.790183,5211.2246,7871.705,,,,,
1900-06-01,28.47992,348.79102,20.210323,20.841637,781.4209,194.0,,,,,
1900-07-01,31.35726,18612.322,22.704628,23.75773,15331.037,16053.218,,,,,
1900-08-01,28.091278,17324.785,18.791851,20.245014,30423.992,29578.486,,,,,
1900-09-01,24.688135,4902.034,16.328623,16.242512,49984.6,12089.464,,,,,
1900-10-01,21.015581,9856.118,11.7822075,12.4665,16481.742,24834.77,,,,,
1900-11-01,16.055628,51949.38,6.694075,7.831508,69492.625,43878.03,,,,,
1900-12-01,11.407819,4.0,2.1606624,3.654983,395.1875,15.155273,,,,,
1901-01-01,10.27419,25465.83,2.6068282,2.7104132,62654.293,30859.258,,,,,
1901-02-01,12.58556,58063.547,3.5067484,4.078774,62352.777,84949.33,,,,,
