Facility_Name,Developer_Operator,Submarket_Location,Initial_Operational_Year,Operational_MW_Capacity,Full_Buildout_MW_Capacity,Primary_Power_Utility
Digital Realty PHX15,Digital Realty,Phoenix,2012,54,54,Salt River Project (SRP)
Iron Mountain Phoenix Campus (AZP-1),Iron Mountain,Phoenix (East Roosevelt St),2014,41,41,Arizona Public Service (APS)
Aligned Phoenix Phase 1 (PHX-01),Aligned Data Centers,Phoenix (North Outskirts),2016,60,60,Arizona Public Service (APS)
QTS Phoenix II Campus,QTS Data Centers,Phoenix (East Valley),2018,210,210,Salt River Project (SRP)
Stream Data Center (Phoenix I),Stream Data Centers,Goodyear,2019,40,40,Arizona Public Service (APS)
Iron Mountain Phoenix Campus (AZP-2),Iron Mountain,Phoenix (East Roosevelt St),2020,48,84,Arizona Public Service (APS)
Aligned Phoenix Phase 2 (PHX-02),Aligned Data Centers,Phoenix (North Outskirts),2020,120,120,Arizona Public Service (APS)
Microsoft Goodyear Campus,Microsoft,Goodyear,2021,143,143,Arizona Public Service (APS)
Compass Goodyear Campus,Compass Datacenters,Goodyear,2022,110,212,Arizona Public Service (APS)
EdgeCore Mesa Campus Phase 1,EdgeCore Digital Infrastructure,Mesa (Elliot Road Tech Corridor),2023,72,72,Salt River Project (SRP)
Stream Data Center (Phoenix II),Stream Data Centers,Goodyear,2024,80,240,Arizona Public Service (APS)
Google Redhawk Phase 1,Google Inc.,Mesa,2025,100,400,Salt River Project (SRP)
EdgeCore Mesa Campus Phase 2 (PH03),EdgeCore Digital Infrastructure,Mesa (Elliot Road Tech Corridor),2025,134,378,Salt River Project (SRP)
