NHGISCODE,GJOIN1970,GJOIN1980,GJOIN1990,GJOIN2000,GJOIN2010,GJOIN2020,STATE,STATEFP,STATENH,PLACE,PLACEA,NAME1970,NAME1980,NAME1990,NAME2000,NAME2010,NAME2020,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA2020
"G04007380",,,,,"G04007380","G04007380","Arizona","04","040","Bowie CDP","07380",,,,,"Bowie CDP","Bowie CDP",,,,,449,406
"G04007590",,,,,"G04007590","G04007590","Arizona","04","040","Brenda CDP","07590",,,,,"Brenda CDP","Brenda CDP",,,,,676,466
"G04007915",,,,,"G04007915","G04007915","Arizona","04","040","Bryce CDP","07915",,,,,"Bryce CDP","Bryce CDP",,,,,175,173
"G04007940","G0400030","G0400030","G04007940","G04007940","G04007940","G04007940","Arizona","04","040","Buckeye city","07940","Buckeye","BUCKEYE TOWN","Buckeye town","Buckeye town","Buckeye town","Buckeye city",2599,3434,5038,6537,50876,91502
"G04008020",,,,,"G04008020","G04008020","Arizona","04","040","Buckshot CDP","08020",,,,,"Buckshot CDP","Buckshot CDP",,,,,153,70
"G04008220",,"G0400031","G04008255","G04008220","G04008220","G04008220","Arizona","04","040","Bullhead City city","08220",,"BULLHEAD CITY-RIVIERA %CDP<","Bullhead City city","Bullhead City city","Bullhead City city","Bullhead City city",,10364,21951,33769,39540,41348
"G04008535",,,,"G04008535","G04008535","G04008535","Arizona","04","040","Burnside CDP","08535",,,,"Burnside CDP","Burnside CDP","Burnside CDP",,,,632,537,494
"G04008710","G0400032","G0400032","G04008710",,"G04008710","G04008710","Arizona","04","040","Bylas CDP","08710","Bylas (U)","BYLAS %CDP<","Bylas CDP",,"Bylas CDP","Bylas CDP",1125,1175,1219,,1962,1782
"G04008920",,,,,"G04008920","G04008920","Arizona","04","040","Cactus Flats CDP","08920",,,,,"Cactus Flats CDP","Cactus Flats CDP",,,,,1518,1524
"G04008990",,,,,"G04008990","G04008990","Arizona","04","040","Cactus Forest CDP","08990",,,,,"Cactus Forest CDP","Cactus Forest CDP",,,,,594,606
"G04009340",,,"G04009340","G04009340","G04009340","G04009340","Arizona","04","040","Cameron CDP","09340",,,"Cameron CDP","Cameron CDP","Cameron CDP","Cameron CDP",,,493,978,885,734
"G04009690",,"G0400033","G04009690","G04009690","G04009690","G04009690","Arizona","04","040","Camp Verde town","09690",,"CAMP VERDE %CDP<","Camp Verde town","Camp Verde town","Camp Verde town","Camp Verde town",,1125,6243,9451,10873,12147
"G04009580",,,,,"G04009580","G04009580","Arizona","04","040","Campo Bonito CDP","09580",,,,,"Campo Bonito CDP","Campo Bonito CDP",,,,,74,83
"G04009900",,,,,"G04009900","G04009900","Arizona","04","040","Cane Beds CDP","09900",,,,,"Cane Beds CDP","Cane Beds CDP",,,,,448,466
"G04010040",,,"G04010040","G04010040","G04010040","G04010040","Arizona","04","040","Canyon Day CDP","10040",,,"Canyon Day CDP","Canyon Day CDP","Canyon Day CDP","Canyon Day CDP",,,857,1092,1209,1205
"G04010180",,,"G04010180","G04010180","G04010180","G04010180","Arizona","04","040","Carefree town","10180",,,"Carefree town","Carefree town","Carefree town","Carefree town",,,1666,2927,3363,3690
"G04010320",,,,,"G04010320","G04010320","Arizona","04","040","Carrizo CDP","10320",,,,,"Carrizo CDP","Carrizo CDP",,,,,127,92
"G04010460",,,,,"G04010460","G04010460","Arizona","04","040","Casa Blanca CDP","10460",,,,,"Casa Blanca CDP","Casa Blanca CDP",,,,,1388,1727
"G04010530","G0400035","G0400035","G04010530","G04010530","G04010530","G04010530","Arizona","04","040","Casa Grande city","10530","Casa Grande","CASA GRANDE CITY","Casa Grande city","Casa Grande city","Casa Grande city","Casa Grande city",10536,14971,19082,25224,48571,53658
"G04010670",,,,"G04010670","G04010670","G04010670","Arizona","04","040","Casas Adobes CDP","10670",,,,"Casas Adobes CDP","Casas Adobes CDP","Casas Adobes CDP",,,,54011,66795,70973
"G0400042","G0400042","G0400042",,,,,"Arizona","04","040","Cashion","0042","Cashion (U)","CASHION %CDP<",,,,,2705,3014,,,,
"G04011160",,"G0400043","G04011160","G04011160","G04011160","G04011160","Arizona","04","040","Catalina CDP","11160",,"CATALINA %CDP<","Catalina CDP","Catalina CDP","Catalina CDP","Catalina CDP",,2749,4864,7025,7569,7551
"G04011230",,,,"G04011230","G04011230","G04011230","Arizona","04","040","Catalina Foothills CDP","11230",,,,"Catalina Foothills CDP","Catalina Foothills CDP","Catalina Foothills CDP",,,,53794,50796,52401
"G04011300",,"G0400044","G04011300","G04011300","G04011300","G04011300","Arizona","04","040","Cave Creek town","11300",,"CAVE CREEK %CDP<","Cave Creek town","Cave Creek town","Cave Creek town","Cave Creek town",,1589,2925,3728,5015,4892
"G04011370",,,,,"G04011370","G04011370","Arizona","04","040","Cedar Creek CDP","11370",,,,,"Cedar Creek CDP","Cedar Creek CDP",,,,,318,372
"G04011500",,,,,"G04011500","G04011500","Arizona","04","040","Centennial Park CDP","11500",,,,,"Centennial Park CDP","Centennial Park CDP",,,,,1264,1578
"G04011580",,,,,"G04011580","G04011580","Arizona","04","040","Central CDP","11580",,,,,"Central CDP","Central CDP",,,,,645,758
"G0400045","G0400045",,,,,,"Arizona","04","040","Central Heights (U)","0045","Central Heights (U)",,,,,,2289,,,,,
"G04011720",,"G0400046","G04011720","G04011720","G04011720","G04011720","Arizona","04","040","Central Heights-Midland City CDP","11720",,"CENTRAL HEIGHTS-MIDLAND CITY %CDP<","Central Heights-Midland City CDP","Central Heights-Midland City CDP","Central Heights-Midland City CDP","Central Heights-Midland City CDP",,2791,2969,2694,2534,2319
"G04012000","G0400050","G0400050","G04012000","G04012000","G04012000","G04012000","Arizona","04","040","Chandler city","12000","Chandler","CHANDLER CITY","Chandler city","Chandler city","Chandler city","Chandler city",13763,29673,90533,176581,236123,275987
"G04012150",,,,,"G04012150","G04012150","Arizona","04","040","Charco CDP","12150",,,,,"Charco CDP","Charco CDP",,,,,52,27
"G04012560",,,,,"G04012560","G04012560","Arizona","04","040","Chiawuli Tak CDP","12560",,,,,"Chiawuli Tak CDP","Chiawuli Tak CDP",,,,,78,48
"G04012630",,,,"G04012630","G04012630","G04012630","Arizona","04","040","Chilchinbito CDP","12630",,,,"Chilchinbito CDP","Chilchinbito CDP","Chilchinbito CDP",,,,462,506,769
"G04012770",,"G0400052","G04012770","G04012770","G04012770","G04012770","Arizona","04","040","Chinle CDP","12770",,"CHINLE %CDP<","Chinle CDP","Chinle CDP","Chinle CDP","Chinle CDP",,2815,5059,5366,4518,4573
"G04012840",,"G0400053","G04012840","G04012840","G04012840","G04012840","Arizona","04","040","Chino Valley town","12840",,"CHINO VALLEY TOWN","Chino Valley town","Chino Valley town","Chino Valley town","Chino Valley town",,2858,4837,7835,10817,13020
"G04012910",,,,,"G04012910","G04012910","Arizona","04","040","Chloride CDP","12910",,,,,"Chloride CDP","Chloride CDP",,,,,271,229
"G04013140",,,,,"G04013140","G04013140","Arizona","04","040","Christopher Creek CDP","13140",,,,,"Christopher Creek CDP","Christopher Creek CDP",,,,,156,121
"G04013190",,,"G04013190","G04013190","G04013190","G04013190","Arizona","04","040","Chuichu CDP","13190",,,"Chuichu CDP","Chuichu CDP","Chuichu CDP","Chuichu CDP",,,330,339,269,240
"G04013400",,,"G04013400","G04013400","G04013400","G04013400","Arizona","04","040","Cibecue CDP","13400",,,"Cibecue CDP","Cibecue CDP","Cibecue CDP","Cibecue CDP",,,1254,1331,1713,1816
"G04013470",,,,"G04013470","G04013470","G04013470","Arizona","04","040","Cibola CDP","13470",,,,"Cibola CDP","Cibola CDP","Cibola CDP",,,,172,250,198
"G04013540",,,,,"G04013540","G04013540","Arizona","04","040","Cienega Springs CDP","13540",,,,,"Cienega Springs CDP","Cienega Springs CDP",,,,,1798,1690
"G04013610",,,,,,"G04013610","Arizona","04","040","Circle City CDP","13610",,,,,,"Circle City CDP",,,,,,522
"G04013820",,,,,"G04013820","G04013820","Arizona","04","040","Citrus Park CDP","13820",,,,,"Citrus Park CDP","Citrus Park CDP",,,,,4028,5194
"G04013850",,,,,"G04013850","G04013850","Arizona","04","040","Clacks Canyon CDP","13850",,,,,"Clacks Canyon CDP","Clacks Canyon CDP",,,,,173,167
"G04013890","G0400055","G0400055","G04013890","G04013890","G04013890","G04013890","Arizona","04","040","Clarkdale town","13890","Clarkdale","CLARKDALE TOWN","Clarkdale town","Clarkdale town","Clarkdale town","Clarkdale town",,1512,2144,3422,4097,4424
"G04014030",,,,,"G04014030","G04014030","Arizona","04","040","Clay Springs CDP","14030",,,,,"Clay Springs CDP","Clay Springs CDP",,,,,401,331
"G04013960","G0400060","G0400060","G04013960","G04013960","G04013960","G04013960","Arizona","04","040","Claypool CDP","13960","Claypool (U)","CLAYPOOL %CDP<","Claypool CDP","Claypool CDP","Claypool CDP","Claypool CDP",2245,2362,1942,1794,1538,1395
"G04014380","G0400065","G0400065","G04014380","G04014380","G04014380","G04014380","Arizona","04","040","Clifton town","14380","Clifton","CLIFTON TOWN","Clifton town","Clifton town","Clifton town","Clifton town",5087,4245,2840,2596,3311,3933
"G04014870",,,"G04014870","G04014870","G04014870","G04014870","Arizona","04","040","Colorado City town","14870",,,"Colorado City town","Colorado City town","Colorado City town","Colorado City town",,,2426,3334,4821,2478
"G04015080",,,,,"G04015080","G04015080","Arizona","04","040","Comobabi CDP","15080",,,,,"Comobabi CDP","Comobabi CDP",,,,,8,44
"G04015150",,,,,"G04015150","G04015150","Arizona","04","040","Concho CDP","15150",,,,,"Concho CDP","Concho CDP",,,,,38,54
"G04015220",,,,"G04015220","G04015220","G04015220","Arizona","04","040","Congress CDP","15220",,,,"Congress CDP","Congress CDP","Congress CDP",,,,1717,1975,1811
"G04015500","G0400070","G0400070","G04015500","G04015500","G04015500","G04015500","Arizona","04","040","Coolidge city","15500","Coolidge","COOLIDGE CITY","Coolidge city","Coolidge city","Coolidge city","Coolidge city",4651,6851,6927,7786,11825,13218
"G04015600",,,,,"G04015600","G04015600","Arizona","04","040","Copper Hill CDP","15600",,,,,"Copper Hill CDP","Copper Hill CDP",,,,,108,158
"G04015765",,,,"G04015765","G04015765","G04015765","Arizona","04","040","Cordes Lakes CDP","15765",,,,"Cordes Lakes CDP","Cordes Lakes CDP","Cordes Lakes CDP",,,,2058,2633,2684
"G04015850",,,,,"G04015850","G04015850","Arizona","04","040","Cornfields CDP","15850",,,,,"Cornfields CDP","Cornfields CDP",,,,,255,221
"G04015920",,,"G04015920","G04015920","G04015920","G04015920","Arizona","04","040","Cornville CDP","15920",,,"Cornville CDP","Cornville CDP","Cornville CDP","Cornville CDP",,,2089,3335,3280,3362
"G04016030",,,,"G04016030","G04016030","G04016030","Arizona","04","040","Corona de Tucson CDP","16030",,,,"Corona de Tucson CDP","Corona de Tucson CDP","Corona de Tucson CDP",,,,813,5675,9240
"G04016360",,,,,"G04016360","G04016360","Arizona","04","040","Cottonwood CDP","16360",,,,,"Cottonwood CDP","Cottonwood CDP",,,,,226,167
"G04016410","G0400073","G0400073","G04016410","G04016410","G04016410","G04016410","Arizona","04","040","Cottonwood city","16410","Cottonwood","COTTONWOOD TOWN","Cottonwood city","Cottonwood city","Cottonwood city","Cottonwood city",2815,4550,5918,9179,11265,12029
"G04016485",,,"G04016485","G04016485",,,"Arizona","04","040","Cottonwood-Verde Village CDP","16485",,,"Cottonwood-Verde Village CDP","Cottonwood-Verde Village CDP",,,,,7037,10610,,
"G04016830",,,,,"G04016830","G04016830","Arizona","04","040","Cowlic CDP","16830",,,,,"Cowlic CDP","Cowlic CDP",,,,,135,105
"G04017460",,,,,"G04017460","G04017460","Arizona","04","040","Crozier CDP","17460",,,,,"Crozier CDP","Crozier CDP",,,,,14,21
"G04017500",,,,,"G04017500","G04017500","Arizona","04","040","Crystal Beach CDP","17500",,,,,"Crystal Beach CDP","Crystal Beach CDP",,,,,279,250
"G04017810",,,,,"G04017810","G04017810","Arizona","04","040","Cutter CDP","17810",,,,,"Cutter CDP","Cutter CDP",,,,,74,84
"G04018160",,,,,"G04018160","G04018160","Arizona","04","040","Dateland CDP","18160",,,,,"Dateland CDP","Dateland CDP",,,,,416,257
"G0400076",,"G0400076",,,,,"Arizona","04","040","Davis-Monthan AFB","0076",,"DAVIS-MONTHAN AFB %CDP<",,,,,,6279,,,,
"G04018448",,,,,"G04018448","G04018448","Arizona","04","040","Deer Creek CDP","18448",,,,,"Deer Creek CDP","Deer Creek CDP",,,,,216,230
"G04018490",,,,,"G04018490","G04018490","Arizona","04","040","Del Muerto CDP","18490",,,,,"Del Muerto CDP","Del Muerto CDP",,,,,329,258
"G04018580",,,"G04018580","G04018580","G04018580","G04018580","Arizona","04","040","Dennehotso CDP","18580",,,"Dennehotso CDP","Dennehotso CDP","Dennehotso CDP","Dennehotso CDP",,,616,734,746,587
"G04018740",,,"G04018740","G04018740","G04018740","G04018740","Arizona","04","040","Desert Hills CDP","18740",,,"Desert Hills CDP","Desert Hills CDP","Desert Hills CDP","Desert Hills CDP",,,1700,2183,2245,2764
"G04019145",,,"G04019145","G04019145","G04019145","G04019145","Arizona","04","040","Dewey-Humboldt town","19145",,,"Dewey-Humboldt CDP","Dewey-Humboldt CDP","Dewey-Humboldt town","Dewey-Humboldt town",,,3640,6295,3894,4326
"G04019280",,,,"G04019280","G04019280","G04019280","Arizona","04","040","Dilkon CDP","19280",,,,"Dilkon CDP","Dilkon CDP","Dilkon CDP",,,,1265,1184,1194
"G04019630",,,"G04019630","G04019630","G04019630","G04019630","Arizona","04","040","Dolan Springs CDP","19630",,,"Dolan Springs CDP","Dolan Springs CDP","Dolan Springs CDP","Dolan Springs CDP",,,1090,1867,2033,1734
"G04019740",,,,,"G04019740","G04019740","Arizona","04","040","Doney Park CDP","19740",,,,,"Doney Park CDP","Doney Park CDP",,,,,5395,5910
"G04019790",,,,,"G04019790","G04019790","Arizona","04","040","Donovan Estates CDP","19790",,,,,"Donovan Estates CDP","Donovan Estates CDP",,,,,1508,1295
"G04020050","G0400080","G0400080","G04020050","G04020050","G04020050","G04020050","Arizona","04","040","Douglas city","20050","Douglas","DOUGLAS CITY","Douglas city","Douglas city","Douglas city","Douglas city",12462,13058,12822,14312,17378,16534
"G04020330",,,,,"G04020330","G04020330","Arizona","04","040","Dragoon CDP","20330",,,,,"Dragoon CDP","Dragoon CDP",,,,,209,178
"G0400082",,"G0400082",,,,,"Arizona","04","040","Dreamland-Velda Rose","0082",,"DREAMLAND-VELDA ROSE %CDP<",,,,,,5969,,,,
"G04020540",,,,"G04020540","G04020540","G04020540","Arizona","04","040","Drexel Heights CDP","20540",,,,"Drexel Heights CDP","Drexel Heights CDP","Drexel Heights CDP",,,,23849,27749,27523
"G04020505",,,,"G04020505",,,"Arizona","04","040","Drexel-Alvernon CDP","20505",,,,"Drexel-Alvernon CDP",,,,,,4192,,
"G04020560",,,,,"G04020560","G04020560","Arizona","04","040","Dripping Springs CDP","20560",,,,,"Dripping Springs CDP","Dripping Springs CDP",,,,,235,142
"G04020570",,,,,"G04020570","G04020570","Arizona","04","040","Drysdale CDP","20570",,,,,"Drysdale CDP","Drysdale CDP",,,,,272,225
"G04020680",,"G0400084","G04020680","G04020680","G04020680","G04020680","Arizona","04","040","Dudleyville CDP","20680",,"DUDLEYVILLE %CDP<","Dudleyville CDP","Dudleyville CDP","Dudleyville CDP","Dudleyville CDP",,1205,1356,1323,959,597
"G04020750","G0400085","G0400085","G04020750","G04020750","G04020750","G04020750","Arizona","04","040","Duncan town","20750","Duncan","DUNCAN TOWN","Duncan town","Duncan town","Duncan town","Duncan town",,603,662,812,696,694
"G04020960","G0400090","G0400090","G04020960","G04020960","G04020960","G04020960","Arizona","04","040","Eagar town","20960","Eagar","EAGAR TOWN","Eagar town","Eagar town","Eagar town","Eagar town",1279,2791,4025,4033,4885,4395
"G04021310",,,"G04021310","G04021310","G04021310","G04021310","Arizona","04","040","East Fork CDP","21310",,,"East Fork CDP","East Fork CDP","East Fork CDP","East Fork CDP",,,752,880,699,672
"G04021410",,,,,"G04021410","G04021410","Arizona","04","040","East Globe CDP","21410",,,,,"East Globe CDP","East Globe CDP",,,,,226,259
"G04021537",,,,"G04021537",,,"Arizona","04","040","East Sahuarita CDP","21537",,,,"East Sahuarita CDP",,,,,,1419,,
"G04021545",,,,,"G04021545","G04021545","Arizona","04","040","East Verde Estates CDP","21545",,,,,"East Verde Estates CDP","East Verde Estates CDP",,,,,170,151
"G04021800",,,"G04021800","G04021800","G04021800","G04021800","Arizona","04","040","Ehrenberg CDP","21800",,,"Ehrenberg CDP","Ehrenberg CDP","Ehrenberg CDP","Ehrenberg CDP",,,1226,1357,1470,763
"G04021900",,,,,"G04021900","G04021900","Arizona","04","040","El Capitan CDP","21900",,,,,"El Capitan CDP","El Capitan CDP",,,,,37,48
"G04022220","G0400100","G0400100","G04022220","G04022220","G04022220","G04022220","Arizona","04","040","El Mirage city","22220","El Mirage","EL MIRAGE TOWN","El Mirage town","El Mirage city","El Mirage city","El Mirage city",3258,4307,5001,7609,31797,35805
"G04022400",,,,,"G04022400","G04022400","Arizona","04","040","El Prado Estates CDP","22400",,,,,"El Prado Estates CDP","El Prado Estates CDP",,,,,504,320
"G04021980",,,,,"G04021980","G04021980","Arizona","04","040","Elephant Head CDP","21980",,,,,"Elephant Head CDP","Elephant Head CDP",,,,,612,588
"G04022080",,,,,"G04022080","G04022080","Arizona","04","040","Elfrida CDP","22080",,,,,"Elfrida CDP","Elfrida CDP",,,,,459,421
"G04022150",,,,"G04022150","G04022150","G04022150","Arizona","04","040","Elgin CDP","22150",,,,"Elgin CDP","Elgin CDP","Elgin CDP",,,,309,161,162
"G04022360","G0400105","G0400105","G04022360","G04022360","G04022360","G04022360","Arizona","04","040","Eloy city","22360","Eloy","ELOY CITY","Eloy city","Eloy city","Eloy city","Eloy city",5381,6240,7211,10375,16631,15635
"G04023512",,,,"G04023512","G04023512","G04023512","Arizona","04","040","First Mesa CDP","23512",,,,"First Mesa CDP","First Mesa CDP","First Mesa CDP",,,,1124,1555,1352
"G04023620","G0400115","G0400115","G04023620","G04023620","G04023620","G04023620","Arizona","04","040","Flagstaff city","23620","Flagstaff","FLAGSTAFF CITY","Flagstaff city","Flagstaff city","Flagstaff city","Flagstaff city",26117,34743,45857,52894,65870,76831
"G04023760","G0400120","G0400120","G04023760","G04023760","G04023760","G04023760","Arizona","04","040","Florence town","23760","Florence","FLORENCE TOWN","Florence town","Florence town","Florence town","Florence town",2173,3391,7510,17054,25536,26785
"G04023955",,,,,"G04023955","G04023955","Arizona","04","040","Flowing Springs CDP","23955",,,,,"Flowing Springs CDP","Flowing Springs CDP",,,,,42,34
"G04023960",,,"G04023960","G04023960","G04023960","G04023960","Arizona","04","040","Flowing Wells CDP","23960",,,"Flowing Wells CDP","Flowing Wells CDP","Flowing Wells CDP","Flowing Wells CDP",,,14013,15050,16419,15657
"G04024100",,,,,,"G04024100","Arizona","04","040","Forest Lakes CDP","24100",,,,,,"Forest Lakes CDP",,,,,,155
"G04024250",,,,,"G04024250","G04024250","Arizona","04","040","Fort Apache CDP","24250",,,,,"Fort Apache CDP","Fort Apache CDP",,,,,143,113
"G04024460",,"G0400122","G04024460","G04024460","G04024460","G04024460","Arizona","04","040","Fort Defiance CDP","24460",,"FORT DEFIANCE %CDP<","Fort Defiance CDP","Fort Defiance CDP","Fort Defiance CDP","Fort Defiance CDP",,3431,4489,4061,3624,3541
"G0400123","G0400123",,,,,,"Arizona","04","040","Fort Huachuca (U)","0123","Fort Huachuca (U)",,,,,,6659,,,,,
"G04024895",,,,,"G04024895","G04024895","Arizona","04","040","Fort Mohave CDP","24895",,,,,"Fort Mohave CDP","Fort Mohave CDP",,,,,14364,16190
"G04024950",,,,,"G04024950","G04024950","Arizona","04","040","Fort Thomas CDP","24950",,,,,"Fort Thomas CDP","Fort Thomas CDP",,,,,374,319
"G04025045",,,,,"G04025045","G04025045","Arizona","04","040","Fort Valley CDP","25045",,,,,"Fort Valley CDP","Fort Valley CDP",,,,,779,1682
"G04025030",,,"G04025030","G04025030","G04025030","G04025030","Arizona","04","040","Fortuna Foothills CDP","25030",,,"Fortuna Foothills CDP","Fortuna Foothills CDP","Fortuna Foothills CDP","Fortuna Foothills CDP",,,7737,20478,26265,27776
"G04025300",,"G0400124","G04025300","G04025300","G04025300","G04025300","Arizona","04","040","Fountain Hills town","25300",,"FOUNTAIN HILLS %CDP<","Fountain Hills town","Fountain Hills town","Fountain Hills town","Fountain Hills town",,2771,10030,20235,22489,23820
