NHGISCODE,GJOIN1970,GJOIN1980,GJOIN1990,GJOIN2000,GJOIN2010,GJOIN2020,STATE,STATEFP,STATENH,PLACE,PLACEA,NAME1970,NAME1980,NAME1990,NAME2000,NAME2010,NAME2020,AV0AA1970,AV0AA1980,AV0AA1990,AV0AA2000,AV0AA2010,AV0AA2020
"G04000730",,,,,"G04000730","G04000730","Arizona","04","040","Aguila CDP","00730",,,,,"Aguila CDP","Aguila CDP",,,,,798,565
"G04000870","G0400005","G0400005","G04000870","G04000870","G04000870","G04000870","Arizona","04","040","Ajo CDP","00870","Ajo (U)","AJO %CDP<","Ajo CDP","Ajo CDP","Ajo CDP","Ajo CDP",5881,5189,2919,3705,3304,3039
"G04000940",,,,,"G04000940","G04000940","Arizona","04","040","Ak Chin CDP","00940",,,,,"Ak Chin CDP","Ak Chin CDP",,,,,30,50
"G04001090",,,"G04001010","G04001090","G04001090","G04001090","Arizona","04","040","Ak-Chin Village CDP","01090",,,"Ak-Chin Village CDP","Ak-Chin Village CDP","Ak-Chin Village CDP","Ak-Chin Village CDP",,,353,669,862,884
"G04001170",,,,,"G04001170","G04001170","Arizona","04","040","Alamo Lake CDP","01170",,,,,"Alamo Lake CDP","Alamo Lake CDP",,,,,25,4
"G04001560",,,,,"G04001560","G04001560","Arizona","04","040","Ali Chuk CDP","01560",,,,,"Ali Chuk CDP","Ali Chuk CDP",,,,,161,119
"G04001570",,,,,"G04001570","G04001570","Arizona","04","040","Ali Chukson CDP","01570",,,,,"Ali Chukson CDP","Ali Chukson CDP",,,,,132,113
"G04001620",,,,,"G04001620","G04001620","Arizona","04","040","Ali Molina CDP","01620",,,,,"Ali Molina CDP","Ali Molina CDP",,,,,71,61
"G04001920",,,,,"G04001920","G04001920","Arizona","04","040","Alpine CDP","01920",,,,,"Alpine CDP","Alpine CDP",,,,,145,146
"G04001990",,,,"G04001990","G04001990","G04001990","Arizona","04","040","Amado CDP","01990",,,,"Amado CDP","Amado CDP","Amado CDP",,,,275,295,198
"G04002270",,,,,"G04002270","G04002270","Arizona","04","040","Anegam CDP","02270",,,,,"Anegam CDP","Anegam CDP",,,,,151,149
"G04002410",,,,,"G04002410","G04002410","Arizona","04","040","Antares CDP","02410",,,,,"Antares CDP","Antares CDP",,,,,126,132
"G04002430",,,,,"G04002430","G04002430","Arizona","04","040","Anthem CDP","02430",,,,,"Anthem CDP","Anthem CDP",,,,,21700,23190
"G04002830","G0400007","G0400007","G04002830","G04002830","G04002830","G04002830","Arizona","04","040","Apache Junction city","02830","Apache Junction (U)","APACHE JUNCTION CITY","Apache Junction city","Apache Junction city","Apache Junction city","Apache Junction city",2390,9935,18100,31814,35840,38499
"G04003320",,,,,"G04003320","G04003320","Arizona","04","040","Arivaca CDP","03320",,,,,"Arivaca CDP","Arivaca CDP",,,,,695,623
"G04003380",,,,,"G04003380","G04003380","Arizona","04","040","Arivaca Junction CDP","03380",,,,,"Arivaca Junction CDP","Arivaca Junction CDP",,,,,1090,970
"G04003530",,,"G04003530","G04003530","G04003530","G04003530","Arizona","04","040","Arizona City CDP","03530",,,"Arizona City CDP","Arizona City CDP","Arizona City CDP","Arizona City CDP",,,1940,4385,10475,9868
"G04003915",,,,"G04003915","G04003915","G04003915","Arizona","04","040","Arizona Village CDP","03915",,,,"Arizona Village CDP","Arizona Village CDP","Arizona Village CDP",,,,351,946,1057
"G04004020",,,,,"G04004020","G04004020","Arizona","04","040","Arlington CDP","04020",,,,,"Arlington CDP","Arlington CDP",,,,,194,150
"G04004440",,,,"G04004440","G04004440","G04004440","Arizona","04","040","Ash Fork CDP","04440",,,,"Ash Fork CDP","Ash Fork CDP","Ash Fork CDP",,,,457,396,361
"G04004710",,,,,"G04004710","G04004710","Arizona","04","040","Avenue B and C CDP","04710",,,,,"Avenue B and C CDP","Avenue B and C CDP",,,,,4176,4101
"G04004720","G0400010","G0400013","G04004720","G04004720","G04004720","G04004720","Arizona","04","040","Avondale city","04720","Avondale","AVONDALE CITY","Avondale city","Avondale city","Avondale city","Avondale city",6304,8168,16169,35883,76238,89334
"G04004880",,,"G04004880","G04004880","G04004880","G04004880","Arizona","04","040","Avra Valley CDP","04880",,,"Avra Valley CDP","Avra Valley CDP","Avra Valley CDP","Avra Valley CDP",,,3403,5038,6050,5569
"G04004930",,,,,"G04004930","G04004930","Arizona","04","040","Aztec CDP","04930",,,,,"Aztec CDP","Aztec CDP",,,,,47,2
"G04005140","G0400015","G0400015","G04005140","G04005140","G04005140","G04005140","Arizona","04","040","Bagdad CDP","05140","Bagdad (U)","BAGDAD %CDP<","Bagdad CDP","Bagdad CDP","Bagdad CDP","Bagdad CDP",2079,2331,1858,1578,1876,1932
"G04005450",,,,,"G04005450","G04005450","Arizona","04","040","Bear Flat CDP","05450",,,,,"Bear Flat CDP","Bear Flat CDP",,,,,18,11
"G04005490",,,,,"G04005490","G04005490","Arizona","04","040","Beaver Dam CDP","05490",,,,,"Beaver Dam CDP","Beaver Dam CDP",,,,,1962,1552
"G04005495",,,,,"G04005495","G04005495","Arizona","04","040","Beaver Valley CDP","05495",,,,,"Beaver Valley CDP","Beaver Valley CDP",,,,,231,226
"G04005700",,,,,,"G04005700","Arizona","04","040","Bellemont CDP","05700",,,,,,"Bellemont CDP",,,,,,1167
"G04005770","G0400020","G0400020","G04005770","G04005770","G04005770","G04005770","Arizona","04","040","Benson city","05770","Benson","BENSON TOWN","Benson city","Benson city","Benson city","Benson city",2839,4190,3824,4711,5105,5355
"G04005970",,,,,"G04005970","G04005970","Arizona","04","040","Beyerville CDP","05970",,,,,"Beyerville CDP","Beyerville CDP",,,,,177,72
"G04006015",,,"G04006015","G04006015",,,"Arizona","04","040","Big Park CDP","06015",,,"Big Park CDP","Big Park CDP",,,,,3024,5245,,
"G04006260","G0400025","G0400025","G04006260","G04006260","G04006260","G04006260","Arizona","04","040","Bisbee city","06260","Bisbee","BISBEE CITY","Bisbee city","Bisbee city","Bisbee city","Bisbee city",8328,7154,6288,6090,5575,4923
"G04006470",,,,"G04006470","G04006470","G04006470","Arizona","04","040","Bitter Springs CDP","06470",,,,"Bitter Springs CDP","Bitter Springs CDP","Bitter Springs CDP",,,,547,452,355
"G04006610",,,"G04006610","G04006610","G04006610","G04006610","Arizona","04","040","Black Canyon City CDP","06610",,,"Black Canyon City CDP","Black Canyon City CDP","Black Canyon City CDP","Black Canyon City CDP",,,1811,2697,2837,2677
"G04006820",,,"G04006820","G04006820","G04006820","G04006820","Arizona","04","040","Blackwater CDP","06820",,,"Blackwater CDP","Blackwater CDP","Blackwater CDP","Blackwater CDP",,,400,504,1062,1190
"G04006997",,,,,,"G04006997","Arizona","04","040","Blue Ridge CDP","06997",,,,,,"Blue Ridge CDP",,,,,,594
"G04007025",,,"G04007025","G04007025","G04007025","G04007025","Arizona","04","040","Bluewater CDP","07025",,,"Bluewater CDP","Bluewater CDP","Bluewater CDP","Bluewater CDP",,,505,730,725,682
"G04007310",,,,"G04007310","G04007310","G04007310","Arizona","04","040","Bouse CDP","07310",,,,"Bouse CDP","Bouse CDP","Bouse CDP",,,,615,996,707
