Project_Name,Developer,Capacity_MW,Expected_Operational_Year,Status,Notes
5C Data Centers PHX01,5C Data Centers,20,2026,,
EdgeConneX PHX11,EdgeConneX,115,Not specified,under construction,
Fortescue Buckeye Data Center,Fortescue,,Not specified,zoning and permitting,
Hassayampa Ranch Data Center,Arizona Land Consulting,1500,Not specified,zoning and permitting,
Iron Mountain AZP-3,Iron Mountain,36,2026,,
Novva Mesa Arizona,Novva,300,2026,,
NTT Pacific Proving Technology Park (DH1-DH7),NTT,360,2028,,
Phoenix Campus (Menlo Digital),Menlo Digital,257,2027,,
Prime Data Centers: Phoenix Campus,Prime Data Centers,240,Not specified,under construction,
QTS Phoenix 3 Campus,QTS,750,Not specified,under construction,
Stack Infrastructure PHX01 Campus,Stack Infrastructure,225,Not specified,under construction,
Stack Infrastructure PHX02 Campus,Stack Infrastructure,246,Not specified,pre-construction,
Tract Buckeye,Tract,1800,2039,,expected timeline of 15 years for full buildout
