Time,Temp_Salt_SSP245,Temp_Verde_SSP245,Temp_Maricopa_SSP245,Precip_Salt_SSP585,Precip_Verde_SSP585,Population,IrrigatedLand_Acres,datacenters_TotalMW,datacenters_TotalNum
2026-06-01,20.972582,21.974016,31.236763,6192.295866956556,834.7323634752684,4920049.23024563,204522.0,1212.0,13.0
2026-07-01,25.03429,27.007235,36.358704,47477.990319393575,27081.07227149667,4927591.179933623,204522.0,1212.0,13.0
2026-08-01,20.949894,22.427137,32.220314,39420.63854945591,25530.815068668744,4935384.527944551,204522.0,1212.0,13.0
2026-09-01,18.813648,20.112804,30.477566,20961.371964222053,20287.83889120677,4943177.875955477,204522.0,1212.0,13.0
2026-10-01,15.049019,16.018923,25.397923,3136.1227289679846,213.1169469164433,4950719.825643471,204522.0,1212.0,13.0
2026-11-01,8.614602,10.107072,18.914274,29758.46953393193,39244.604180334136,4958513.173654399,204522.0,1212.0,13.0
2026-12-01,4.0421515,4.830596,12.788249,6480.071634865453,3529.504684143467,4966055.123342392,204522.0,1568.0,16.0
2027-01-01,3.5096846,4.6162796,13.038312,12282.24895420717,10433.16722461568,4973848.4713533195,204522.0,1825.0,17.0
2027-02-01,2.787819,3.7831976,12.068742,17645.67532626679,11461.56798473312,4981472.544246468,204522.0,1825.0,17.0
2027-03-01,5.680874,6.960331,15.784096,28270.39287232328,29198.42931711028,4988358.803633827,204522.0,1825.0,17.0
2027-04-01,11.780796,12.65461,21.83041,12015.707023674622,14945.406403276138,4995982.876526974,204522.0,1825.0,17.0
2027-05-01,15.497102,17.004042,26.081177,3313.5432139026307,227.82891321089664,5003361.011584859,204522.0,1825.0,17.0
2027-06-01,20.193686,21.562319,30.917742,3927.6858927387366,39.32792693285592,5010985.084478008,204522.0,1825.0,17.0
2027-07-01,23.141878,24.755684,34.133804,38335.57061426109,25888.40726566777,5018363.219535892,204522.0,1825.0,17.0
2027-08-01,22.213623,23.406391,32.987972,9172.110811994937,5672.636646195542,5025987.29242904,204522.0,1825.0,17.0
2027-09-01,22.549284,24.297056,33.389614,3179.047307860856,787.0132267407826,5033611.365322188,204522.0,1825.0,17.0
2027-10-01,14.109472,15.654551,24.358301,7482.997061746573,1037.206031781625,5040989.500380073,204522.0,1825.0,17.0
2027-11-01,9.498953,10.653746,18.88056,1960.959946105504,73.3536028646995,5048613.573273221,204522.0,1825.0,17.0
2027-12-01,6.1371474,6.907879,15.149441,19069.72108502523,24037.725148405298,5055991.708331106,204522.0,1825.0,17.0
2028-01-01,0.97401553,2.9227734,11.365327,11857.04414666252,8449.7222562135,5063615.781224254,204522.0,2185.0,18.0
2028-02-01,4.5586734,5.6153836,13.980953,12749.121328355975,11058.482558620744,5071155.960087216,204522.0,2185.0,18.0
2028-03-01,6.347769,7.7041507,16.197773,13934.515976881084,9860.385117207445,5078209.67579773,204522.0,2185.0,18.0
2028-04-01,9.947605,10.341336,19.681337,4175.388438728987,1202.8860481937045,5085749.854660693,204522.0,2185.0,18.0
2028-05-01,15.57922,17.087246,26.626184,18.273702423857685,0.0,5093046.801947432,204522.0,2185.0,18.0
2028-06-01,20.809298,21.725292,30.942612,2969.091110653608,440.7448426095471,5100586.9808103945,204522.0,2185.0,18.0
2028-07-01,22.659462,24.727331,33.931725,13897.673877079797,1863.82203635294,5107883.928097133,204522.0,3515.0,22.0
2028-08-01,22.842247,24.654945,33.985874,38806.4165157848,47142.35452972935,5115424.106960095,204522.0,3515.0,22.0
2028-09-01,19.855042,21.326557,30.842855,5516.346434567822,2973.475619959117,5122964.285823058,204522.0,3515.0,22.0
2028-10-01,12.20341,13.220438,22.378624,1204.9354907912857,7.650000324474604,5130261.233109796,204522.0,3515.0,22.0
2028-11-01,7.666484,8.231853,16.454546,12123.346875057903,9675.144475957495,5137801.411972759,204522.0,3515.0,22.0
2028-12-01,1.5025979,2.0916207,10.22639,8971.386461035581,4611.554570506587,5145098.359259497,204522.0,3515.0,22.0
2029-01-01,3.3712873,4.3890147,12.196537,4051.423435672768,2216.9602876861063,5152638.53812246,204522.0,3515.0,22.0
2029-02-01,3.572165,4.4497743,12.610631,7548.9805724151665,10127.674567963912,5160136.536967157,204522.0,3515.0,22.0
2029-03-01,7.2480283,8.854586,17.297203,1466.7879645819085,1758.345964738828,5166908.923020432,204522.0,3515.0,22.0
2029-04-01,11.29896,12.455608,22.23679,5314.5410712459125,6704.7655034557465,5174406.921865129,204522.0,3515.0,22.0
2029-05-01,16.539564,17.528147,26.863241,339.39465722987734,0.0,5181663.049779352,204522.0,3515.0,22.0
2029-06-01,19.496172,20.858286,29.991774,280.813540476629,33.38904701240608,5189161.048624048,204522.0,3515.0,22.0
2029-07-01,23.49659,25.627876,34.536568,2109.834795982715,174.5334944530896,5196417.176538271,204522.0,3761.0,23.0
2029-08-01,21.72719,23.101843,31.516144,28069.514180652917,15183.227126707334,5203915.175382968,204522.0,3761.0,23.0
2029-09-01,20.468506,21.773878,31.11433,16202.255123178476,16923.53636244661,5211413.174227665,204522.0,3761.0,23.0
2029-10-01,15.1794615,16.486485,25.702785,1040.0933446132512,158.69444725885842,5218669.302141888,204522.0,3761.0,23.0
2029-11-01,11.422583,13.305522,21.777367,3796.3611268478417,802.8901211168886,5226167.300986584,204522.0,3761.0,23.0
2029-12-01,3.9715083,4.915856,12.4847145,6913.859556055104,10115.958487132955,5233423.428900807,204522.0,3761.0,23.0
2030-01-01,2.487752,3.685354,11.306395,16429.368053250073,17738.267673132214,5240921.427745504,204522.0,3761.0,23.0
2030-02-01,6.031256,7.1255064,15.451496,2247.843902105524,455.5865290849397,5248355.874526567,204522.0,3761.0,23.0
2030-03-01,8.319583,9.074725,18.413565,8880.010094635509,964.443834794156,5255070.858715914,204522.0,3761.0,23.0
2030-04-01,10.920866,12.179129,20.992775,0.0,0.0,5262505.305496977,204522.0,3761.0,23.0
