Time,Temp_Salt_SSP245,Temp_Verde_SSP245,Temp_Maricopa_SSP245,Precip_Salt_SSP245,Precip_Verde_SSP245,Precip_Maricopa_SSP245,Temp_Salt_SSP585,Temp_Verde_SSP585,Temp_Maricopa_SSP585,Precip_Salt_SSP585,Precip_Verde_SSP585,Precip_Maricopa_SSP585
2026-06-16 00:00:00,20.972582,21.974016,31.236763,461.62832468507986,475.8515884714143,27.744329975575965,21.405207,22.534292,31.400064,6192.295866956556,3543.7034561609835,834.7323634752684
2026-07-16 12:00:00,25.03429,27.007235,36.358704,19060.51021964522,6417.917433128605,3948.8813568267688,24.602316,26.768377,35.787857,47477.990319393575,31365.076755161863,27081.07227149667
2026-08-16 12:00:00,20.949894,22.427137,32.220314,39288.52651583729,10834.720166531042,14645.240444475712,21.238823,23.08964,32.690033,39420.63854945591,32705.90636250854,25530.815068668744
2026-09-16 00:00:00,18.813648,20.112804,30.477566,10896.836388659722,6962.768997673265,2434.3531582699143,19.887398,21.659208,31.3461,20961.371964222053,35531.38650418259,20287.838891206775
2026-10-16 12:00:00,15.049019,16.018923,25.397923,4063.474940456581,4711.486286919626,1130.4753650342263,15.762205,16.869446,26.057661,3136.1227289679846,2153.1115175906507,213.11694691644334
2026-11-16 00:00:00,8.614602,10.107072,18.914274,4876.948142557012,4100.321021511263,2108.3671319192945,9.96722,11.362991,19.49914,29758.46953393193,34161.321873776615,39244.604180334136
2026-12-16 12:00:00,4.0421515,4.830596,12.788249,7007.120177025354,3579.681066691319,3319.8598808571205,4.5269947,5.249514,13.494063,6480.071634865453,7534.815616131709,3529.504684143467
2027-01-16 12:00:00,3.5096846,4.6162796,13.038312,29425.99916884792,37912.334638880566,38009.71770563774,3.5278025,4.7483044,12.633329,12282.24895420717,10826.625592020719,10433.167224615681
2027-02-15 00:00:00,2.787819,3.7831976,12.068742,21478.837735997513,21194.744385627564,18381.699055287754,2.9025905,3.8561442,12.435706,17645.67532626679,28049.417618417647,11461.56798473312
2027-03-16 12:00:00,5.680874,6.960331,15.784096,5182.637426212023,9097.360811691033,2434.2390973818965,6.578037,7.625939,16.45012,28270.392872323282,35255.06201168464,29198.429317110276
