Time,flow_salt_upstream,log_flow_salt_upstream,flow_salt_downstream,log_flow_salt_downstream,flow_verde_upstream,log_flow_verde_upstream,flow_verde_downstream,log_flow_verde_downstream,log_flow_salt_downstream_lag_1,log_flow_salt_downstream_lag_2,log_flow_salt_downstream_lag_3,log_flow_salt_downstream_lag_4,log_flow_salt_downstream_lag_5,log_flow_salt_downstream_lag_6,log_flow_salt_downstream_lag_7,log_flow_salt_downstream_lag_8,log_flow_salt_downstream_lag_9,log_flow_salt_downstream_lag_10,log_flow_salt_downstream_lag_11,log_flow_salt_downstream_lag_12,log_flow_salt_upstream_lag_1,log_flow_salt_upstream_lag_2,log_flow_salt_upstream_lag_3,log_flow_salt_upstream_lag_4,log_flow_salt_upstream_lag_5,log_flow_salt_upstream_lag_6,log_flow_salt_upstream_lag_7,log_flow_salt_upstream_lag_8,log_flow_salt_upstream_lag_9,log_flow_salt_upstream_lag_10,log_flow_salt_upstream_lag_11,log_flow_salt_upstream_lag_12,log_flow_verde_downstream_lag_1,log_flow_verde_downstream_lag_2,log_flow_verde_downstream_lag_3,log_flow_verde_downstream_lag_4,log_flow_verde_downstream_lag_5,log_flow_verde_downstream_lag_6,log_flow_verde_downstream_lag_7,log_flow_verde_downstream_lag_8,log_flow_verde_downstream_lag_9,log_flow_verde_downstream_lag_10,log_flow_verde_downstream_lag_11,log_flow_verde_downstream_lag_12,log_flow_verde_upstream_lag_1,log_flow_verde_upstream_lag_2,log_flow_verde_upstream_lag_3,log_flow_verde_upstream_lag_4,log_flow_verde_upstream_lag_5,log_flow_verde_upstream_lag_6,log_flow_verde_upstream_lag_7,log_flow_verde_upstream_lag_8,log_flow_verde_upstream_lag_9,log_flow_verde_upstream_lag_10,log_flow_verde_upstream_lag_11,log_flow_verde_upstream_lag_12
1904-01-01,,,,,,,236.7741935483871,5.471321456704143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904-02-01,,,,,,,226.31034482758622,5.426316241602834,,,,,,,,,,,,,,,,,,,,,,,,,5.471321456704143,,,,,,,,,,,,,,,,,,,,,,,
1904-03-01,,,,,,,184.03225806451613,5.22053017779431,,,,,,,,,,,,,,,,,,,,,,,,,5.426316241602834,5.471321456704143,,,,,,,,,,,,,,,,,,,,,,
1904-04-01,,,,,,,118.53333333333333,4.7835952725029225,,,,,,,,,,,,,,,,,,,,,,,,,5.22053017779431,5.426316241602834,5.471321456704143,,,,,,,,,,,,,,,,,,,,,
1904-05-01,,,,,,,126.29032258064517,4.8464704820974145,,,,,,,,,,,,,,,,,,,,,,,,,4.7835952725029225,5.22053017779431,5.426316241602834,5.471321456704143,,,,,,,,,,,,,,,,,,,,
1904-06-01,,,,,,,62.93333333333333,4.157840873781228,,,,,,,,,,,,,,,,,,,,,,,,,4.8464704820974145,4.7835952725029225,5.22053017779431,5.426316241602834,5.471321456704143,,,,,,,,,,,,,,,,,,,
1904-07-01,,,,,,,729.0967741935484,6.59317709274458,,,,,,,,,,,,,,,,,,,,,,,,,4.157840873781228,4.8464704820974145,4.7835952725029225,5.22053017779431,5.426316241602834,5.471321456704143,,,,,,,,,,,,,,,,,,
1904-08-01,,,,,,,1624.6774193548388,7.393679881345374,,,,,,,,,,,,,,,,,,,,,,,,,6.59317709274458,4.157840873781228,4.8464704820974145,4.7835952725029225,5.22053017779431,5.426316241602834,5.471321456704143,,,,,,,,,,,,,,,,,
1904-09-01,,,,,,,481.6,6.179188153190932,,,,,,,,,,,,,,,,,,,,,,,,,7.393679881345374,6.59317709274458,4.157840873781228,4.8464704820974145,4.7835952725029225,5.22053017779431,5.426316241602834,5.471321456704143,,,,,,,,,,,,,,,,
1904-10-01,,,,,,,188.06451612903226,5.242088311991283,,,,,,,,,,,,,,,,,,,,,,,,,6.179188153190932,7.393679881345374,6.59317709274458,4.157840873781228,4.8464704820974145,4.7835952725029225,5.22053017779431,5.426316241602834,5.471321456704143,,,,,,,,,,,,,,,
