Time,Temp_Salt,Temp_Verde,Precip_Salt,Precip_Verde
1895-01-01,2.0165374,1.5487777,71669.25,134251.94
1895-02-01,2.4887345,3.5754113,17260.508,12643.464
1895-03-01,5.9150515,7.4707656,4439.287,9704.54
1895-04-01,9.875881,12.606539,2930.791,1849.8154
1895-05-01,14.626182,15.331393,10896.962,8430.881
1895-06-01,17.711035,17.756332,1595.7227,3723.21
1895-07-01,21.075556,22.687328,25615.307,13233.207
1895-08-01,20.277365,22.49692,58181.668,50875.734
1895-09-01,17.484217,19.246143,33494.438,18931.207
1895-10-01,12.078137,13.686603,35938.48,22790.02
1895-11-01,3.8533046,4.8840985,65461.344,65364.586
1895-12-01,-0.23844531,0.994251,11635.433,12630.311
1896-01-01,3.4766421,4.4238963,11795.478,14322.157
1896-02-01,3.4524891,4.9458704,9317.339,2684.4453
1896-03-01,6.879789,7.6850286,17251.773,36676.484
1896-04-01,8.672737,9.55437,4575.868,17369.46
1896-05-01,14.21352,15.633125,0.12695312,703.08496
1896-06-01,20.118198,21.822212,9297.087,437.91016
1896-07-01,20.268387,22.651192,63632.844,62807.566
1896-08-01,19.963116,22.465794,46173.844,67119.55
1896-09-01,17.400478,18.934992,49780.547,34924.348
1896-10-01,11.456062,13.327368,79486.766,81197.78
1896-11-01,6.1189156,6.571127,17361.92,20734.805
1896-12-01,2.9481547,4.0771136,13877.856,14833.664
1897-01-01,1.5619234,3.3753874,88131.51,89146.81
1897-02-01,1.7274797,3.5791328,26691.934,30496.906
1897-03-01,3.4142423,4.851777,31181.883,22109.207
1897-04-01,9.953378,10.393046,2058.1367,6033.3115
1897-05-01,15.4111395,16.638535,3520.121,7473.337
1897-06-01,17.992764,19.270315,4388.671,1765.624
1897-07-01,21.668463,23.05283,34403.914,15945.188
1897-08-01,21.478252,23.35676,53688.25,38734.8
1897-09-01,18.328758,19.170794,58064.402,79242.84
1897-10-01,11.696547,11.805616,18049.293,19213.287
1897-11-01,7.4350657,8.1889305,457.25293,559.0537
1897-12-01,1.3786141,1.2274706,16187.0205,21590.426
1898-01-01,-1.5343609,-0.1027754,62762.906,63046.383
1898-02-01,4.7507687,6.070341,4552.756,3640.1914
1898-03-01,5.421511,5.9110813,19718.031,22997.451
1898-04-01,12.485192,14.176384,16814.549,14250.833
1898-05-01,13.5639715,14.5786705,4762.2,22672.22
1898-06-01,20.029577,21.627064,31242.05,15588.01
1898-07-01,22.840954,24.188438,54615.0,41238.055
1898-08-01,21.896873,23.12366,69684.86,60251.89
1898-09-01,18.567411,19.565441,7347.163,422.29492
1898-10-01,12.023768,13.639547,0.47558594,0.0
1898-11-01,5.809672,6.9285154,15212.033,12434.498
1898-12-01,-1.5317594,-0.34737912,46839.516,48321.688
1899-01-01,-0.1605,0.36207193,23979.303,31419.646
1899-02-01,2.5785375,3.593306,13286.727,21665.229
1899-03-01,6.6003547,6.707017,4205.9404,8935.491
1899-04-01,10.247811,11.245215,6073.2715,1601.3945
1899-05-01,12.950472,11.9676075,60.08203,136.76562
1899-06-01,19.507349,20.016459,26529.676,18128.414
1899-07-01,22.288757,23.36748,56072.824,43946.875
1899-08-01,20.22916,21.18244,32494.273,21934.273
1899-09-01,18.974527,21.339666,26941.379,13588.923
1899-10-01,11.448567,11.339433,15589.833,29642.227
1899-11-01,6.6905203,7.955709,15528.507,16095.123
1899-12-01,3.2757032,3.8046384,3416.7393,7834.498
1900-01-01,4.5404515,5.3827934,5958.6816,7378.547
1900-02-01,3.207289,5.136402,9641.926,2619.2588
1900-03-01,9.280963,9.919816,23658.14,12755.185
1900-04-01,8.991835,7.40694,37419.195,67737.92
1900-05-01,15.917247,15.790183,5211.2246,7871.705
1900-06-01,20.210323,20.841637,781.4209,194.0
1900-07-01,22.704628,23.75773,15331.037,16053.218
1900-08-01,18.791851,20.245014,30423.992,29578.486
1900-09-01,16.328623,16.242512,49984.6,12089.464
1900-10-01,11.7822075,12.4665,16481.742,24834.77
1900-11-01,6.694075,7.831508,69492.625,43878.03
1900-12-01,2.1606624,3.654983,395.1875,15.155273
1901-01-01,2.6068282,2.7104132,62654.293,30859.258
1901-02-01,3.5067484,4.078774,62352.777,84949.33
1901-03-01,5.304822,6.444317,20314.062,15066.307
1901-04-01,6.945316,9.597046,7099.409,4150.8145
1901-05-01,13.769506,15.285523,24738.934,16807.441
1901-06-01,18.244585,19.333025,303.49316,855.3096
1901-07-01,23.61227,25.079466,55534.227,29818.676
1901-08-01,22.053339,23.574905,30962.52,37604.785
1901-09-01,18.06354,18.679548,10792.872,1195.5615
1901-10-01,12.835408,13.484836,25673.842,20163.97
1901-11-01,8.493825,8.981677,9117.6455,15590.051
1901-12-01,2.9196892,3.6630175,8797.078,317.58887
1902-01-01,2.904711,2.6816177,27427.205,31890.322
1902-02-01,4.668906,4.8564057,13002.636,19540.98
1902-03-01,4.700445,4.253251,11292.602,30377.246
1902-04-01,11.898905,12.172447,248.70215,3978.5684
1902-05-01,14.645402,14.749762,25832.023,5807.798
1902-06-01,21.223705,21.709112,5093.416,349.4795
1902-07-01,21.300854,22.350445,20821.986,13182.129
1902-08-01,21.607489,22.09487,42243.555,50633.227
1902-09-01,18.190565,19.158434,39017.1,20446.0
1902-10-01,13.257961,13.871528,2970.5586,288.9619
1902-11-01,5.988725,4.888299,42792.094,54881.04
1902-12-01,2.8443718,2.203546,55505.156,28568.61
1903-01-01,2.6247406,2.8468008,3902.9707,7989.7227
1903-02-01,0.42712656,1.1251872,42105.64,38386.203
1903-03-01,6.4679327,6.5628657,37347.305,36253.14
1903-04-01,10.430922,9.817931,4196.0586,14437.337
1903-05-01,14.349544,14.278861,12242.865,5735.839
1903-06-01,19.430506,19.824476,31932.664,14479.97
1903-07-01,23.059336,22.465492,21951.771,43200.54
1903-08-01,22.486467,22.956633,49480.508,34961.246
1903-09-01,17.549099,17.916529,41196.254,58885.066
1903-10-01,11.681442,12.814852,14.075195,2433.4678
1903-11-01,8.198734,9.492997,0.0,0.0
1903-12-01,2.9783266,3.1238003,4358.1973,681.43164
1904-01-01,0.4122719,0.77826995,11437.804,6026.1006
1904-02-01,6.591203,6.8466077,13666.66,13582.544
1904-03-01,8.836679,8.737621,8067.426,14928.831
1904-04-01,11.181077,11.063109,869.83984,1075.0176
1904-05-01,15.238901,15.235604,8276.786,13574.983
1904-06-01,19.755432,20.092323,1258.2832,2328.956
1904-07-01,22.14998,23.064327,37633.7,61697.914
1904-08-01,21.287529,21.455025,83488.26,105529.58
1904-09-01,17.919687,18.358852,17260.13,11822.827
1904-10-01,12.404713,12.769616,23206.1,4200.9727
1904-11-01,6.894761,8.788058,188.23242,0.12695312
1904-12-01,3.3092673,3.258038,33880.22,16001.445
1905-01-01,4.7225704,4.1726418,86090.08,99034.7
1905-02-01,5.2151046,3.5811267,130519.41,146918.88
1905-03-01,7.364544,6.9901023,131427.08,118415.266
1905-04-01,9.359098,9.41132,68209.484,73610.78
1905-05-01,13.1901455,12.266049,4878.584,19116.316
1905-06-01,18.993164,19.328943,10671.71,1832.419
1905-07-01,21.492374,23.127138,33328.95,27527.97
1905-08-01,21.910751,22.748919,41330.133,57510.402
1905-09-01,18.704412,19.574453,58162.12,57863.74
1905-10-01,12.1854515,12.875194,4199.2305,2758.416
1905-11-01,6.8287873,6.4855566,119256.75,136868.28
1905-12-01,0.28444687,0.6175738,39834.906,32795.68
1906-01-01,1.1597078,1.4909506,23289.432,25821.41
1906-02-01,5.6160827,5.5262856,26530.613,29738.209
1906-03-01,7.1310344,6.706494,57971.625,95989.06
1906-04-01,9.638405,9.971109,21653.809,30390.363
1906-05-01,14.085589,13.85678,3724.914,7447.2656
1906-06-01,18.540014,19.006855,0.0,0.9042969
1906-07-01,22.241142,22.856749,51935.605,56142.703
1906-08-01,19.75555,20.984396,78209.695,81339.984
1906-09-01,16.922787,17.999527,22014.234,6240.674
1906-10-01,11.985931,13.017124,4413.6055,1311.7256
1906-11-01,7.009186,4.5726953,33653.785,56634.79
1906-12-01,5.2607107,4.033989,123145.09,106043.195
1907-01-01,3.6842265,1.764916,58114.773,69954.47
1907-02-01,6.208575,7.449593,20385.203,33728.293
1907-03-01,7.9125156,7.199833,28097.645,51524.586
1907-04-01,10.954907,11.33561,23279.598,22243.262
1907-05-01,12.961834,12.928337,25856.797,15225.913
1907-06-01,16.814919,17.630709,6698.048,4397.343
1907-07-01,21.729212,22.874466,43340.03,43746.65
1907-08-01,20.676981,21.547062,100244.59,43297.97
1907-09-01,17.762299,18.844027,11651.683,26725.64
1907-10-01,12.653063,13.20829,73407.76,83489.3
1907-11-01,6.301528,6.390301,19404.309,18386.592
1907-12-01,3.5787814,4.2278905,986.35156,1557.6416
1908-01-01,3.5525656,3.5432627,18713.715,28629.389
1908-02-01,3.9398673,4.1624346,77042.17,76862.5
1908-03-01,7.4965844,8.018061,27711.973,31849.625
1908-04-01,10.258329,10.715915,14995.044,25639.973
1908-05-01,12.643669,12.837672,8301.418,17049.838
1908-06-01,18.279888,18.726068,1349.3994,348.98828
1908-07-01,21.73186,22.902271,78142.15,91811.42
1908-08-01,20.656052,21.538538,84078.94,55204.547
1908-09-01,17.478975,18.153627,12641.985,23202.25
1908-10-01,10.460795,11.238122,11452.108,26062.14
1908-11-01,6.6447845,6.779821,15756.524,12482.861
1908-12-01,2.8445718,2.6720994,77656.64,123918.195
1909-01-01,4.068609,4.5925107,33244.258,48681.78
1909-02-01,2.356153,3.404604,52600.293,53282.617
1909-03-01,3.7581563,4.9743924,47979.293,45500.62
1909-04-01,7.9894857,10.472762,7004.6553,4709.1387
1909-05-01,13.214264,13.862272,227.25293,2071.1885
1909-06-01,19.926313,20.350475,2212.707,2358.0205
1909-07-01,22.450598,22.97367,37467.746,45607.855
1909-08-01,20.725885,21.542143,63706.95,106999.03
1909-09-01,17.417614,17.795244,35844.52,26216.672
1909-10-01,12.491774,13.767457,17.458984,202.73047
1909-11-01,7.209305,7.948626,16456.623,24153.465
1909-12-01,0.43010157,-0.6561864,33259.99,53395.656
1910-01-01,2.753325,2.0672665,47546.758,60932.312
1910-02-01,3.5203345,4.032384,2876.5078,4805.751
1910-03-01,9.659119,10.1373415,15313.684,38288.152
1910-04-01,11.037807,12.388414,15426.332,9994.948
1910-05-01,16.148294,17.374132,4207.079,17.075195
1910-06-01,20.090202,20.772873,7058.2676,9449.084
1910-07-01,22.616495,23.547167,36980.242,33842.195
1910-08-01,22.130878,23.110708,52929.168,46255.492
1910-09-01,19.690685,20.84666,4994.9834,5670.199
1910-10-01,12.689772,13.599949,9702.738,17743.582
1910-11-01,7.2519765,8.674703,42194.78,50850.133
1910-12-01,4.320086,5.106174,12324.798,23598.963
1911-01-01,4.5421143,4.693813,60626.64,87810.59
1911-02-01,3.436975,3.064609,58289.535,50638.562
1911-03-01,8.67747,8.939176,34576.164,52935.734
1911-04-01,9.905514,10.568724,15928.6455,5091.913
1911-05-01,13.8637295,14.138979,130.26758,352.46875
1911-06-01,18.441236,19.421923,13485.466,8723.394
1911-07-01,20.332129,21.752533,88893.16,94107.67
1911-08-01,21.131464,21.783787,35862.617,51984.703
1911-09-01,19.249815,19.15412,53077.39,50974.906
1911-10-01,11.926702,12.551247,71432.08,57772.29
1911-11-01,5.6470733,6.121184,459.89746,84.32129
1911-12-01,-0.34905937,0.023325928,17262.656,10450.274
1912-01-01,1.6063343,3.968822,265.83008,387.5918
1912-02-01,3.7789733,5.165767,5237.5967,827.4824
1912-03-01,6.01183,5.285329,82560.05,107214.125
1912-04-01,7.657545,7.544273,26721.871,40059.77
1912-05-01,13.618997,14.133837,3984.9854,7164.1846
1912-06-01,19.639547,20.02564,11145.729,10114.295
1912-07-01,20.203457,20.805727,82717.14,72830.06
1912-08-01,20.163427,21.142752,51407.062,42688.836
1912-09-01,15.990521,16.509708,7512.091,3663.5615
1912-10-01,10.850364,10.811362,50986.543,76401.92
1912-11-01,5.7028766,7.574244,700.61816,2128.583
1912-12-01,0.085314065,1.5080105,20262.84,18706.582
1913-01-01,-0.27358595,-0.15167071,18454.615,16930.055
1913-02-01,1.8779532,2.4151855,71700.61,81746.82
1913-03-01,4.4965844,4.5429997,12378.741,12751.653
1913-04-01,9.053726,10.50574,9319.803,6219.301
1913-05-01,13.994402,14.771712,407.44043,0.0
1913-06-01,18.27854,18.44073,4172.245,1033.1494
1913-07-01,20.629538,22.11123,39872.28,42623.414
1913-08-01,20.733023,21.949162,38557.445,55455.918
1913-09-01,16.64655,17.816013,25381.555,38132.496
1913-10-01,11.569597,11.946814,14985.005,8483.96
1913-11-01,7.9668655,8.014231,43204.305,57995.797
1913-12-01,0.9335125,1.6849399,33681.152,28929.906
1914-01-01,3.7159126,4.3056784,24265.375,50260.254
1914-02-01,3.9575562,4.198584,26868.77,45324.344
1914-03-01,7.430933,8.718949,17311.973,13891.295
1914-04-01,11.062811,11.557209,2983.7607,10874.419
1914-05-01,15.207347,15.019728,7344.331,6800.7256
1914-06-01,19.632494,19.720655,12263.762,20458.05
1914-07-01,20.08134,21.847153,85525.69,69935.28
1914-08-01,21.13706,22.832634,55698.445,34114.8
1914-09-01,18.476162,19.756922,8697.296,24199.867
1914-10-01,12.176817,12.702205,54500.047,52131.953
1914-11-01,8.0791,9.229092,22085.086,8066.912
1914-12-01,1.5348265,0.7360942,81953.64,74017.28
1915-01-01,0.63970155,0.7101277,71426.55,77093.6
1915-02-01,2.9300907,3.4570925,55251.324,63622.562
1915-03-01,4.832172,6.54002,27766.312,21495.787
1915-04-01,9.744199,10.305367,46610.824,65745.54
1915-05-01,11.845341,12.0686245,15425.383,18590.996
1915-06-01,18.366203,18.997267,20229.977,9182.854
1915-07-01,21.05981,22.261822,65207.48,57704.99
1915-08-01,20.422884,22.782873,38325.703,33457.992
1915-09-01,16.49867,17.738039,25214.822,12108.872
1915-10-01,12.255072,14.018344,5061.2656,2824.1143
1915-11-01,6.3637924,7.202715,29123.29,24226.836
1915-12-01,2.3032563,2.2169216,67518.55,100996.69
1916-01-01,2.1183796,0.9012772,153093.5,140964.05
1916-02-01,5.9810357,6.9060664,15895.731,21755.629
1916-03-01,8.274054,9.304506,50830.11,48206.797
1916-04-01,10.159319,11.301605,15709.926,8939.129
1916-05-01,13.276525,14.035361,5328.661,4471.3936
1916-06-01,18.829521,19.950047,0.0,0.0
1916-07-01,20.527979,22.742077,59385.965,59254.92
1916-08-01,19.407043,20.49193,54128.402,64876.734
1916-09-01,16.844868,18.203304,36555.04,44942.656
1916-10-01,11.169675,10.842438,69094.82,66754.305
1916-11-01,5.263711,5.9408484,53.808594,0.0
1916-12-01,0.5613344,0.38871145,23029.8,26173.23
1917-01-01,1.0519828,-0.638919,69012.21,74133.766
1917-02-01,2.3679407,2.6793263,45227.35,36657.496
1917-03-01,3.983164,4.023717,930.26074,4149.335
1917-04-01,8.295702,8.172422,33764.652,83581.984
1917-05-01,10.477131,11.223633,27210.219,31314.184
1917-06-01,19.49374,20.021353,417.81836,428.88867
1917-07-01,22.326633,23.678017,61463.188,73139.31
1917-08-01,20.568008,21.581059,20459.822,43314.68
1917-09-01,17.448118,19.019922,31572.398,30530.46
1917-10-01,13.404926,14.181254,777.85254,316.40625
1917-11-01,7.665986,9.25479,0.0,0.734375
1917-12-01,4.7156577,6.1822057,0.0,0.0
1918-01-01,0.13796407,1.2968798,60622.707,49111.6
1918-02-01,3.8072484,4.351386,41459.883,38103.76
1918-03-01,7.4058795,7.232163,30636.168,91735.625
1918-04-01,9.700405,9.938261,6732.843,4565.7344
1918-05-01,12.766814,13.002342,3545.0303,2802.4258
1918-06-01,21.604183,22.891558,20350.432,23614.39
1918-07-01,21.775198,22.154366,49131.09,42878.484
1918-08-01,20.532944,20.770134,53633.49,53522.9
1918-09-01,19.106663,19.249693,10746.712,11376.705
1918-10-01,12.822017,13.541875,19689.262,11306.201
1918-11-01,5.0367236,4.881236,53147.742,37190.555
1918-12-01,0.3835125,1.6040579,54859.117,55526.36
1919-01-01,-1.2349187,0.8887439,14950.77,15310.46
1919-02-01,0.16779844,1.0069379,61679.016,59055.918
1919-03-01,4.8763266,5.1150327,26509.207,26656.84
1919-04-01,11.223417,12.091358,18559.537,15918.378
1919-05-01,15.302209,15.903046,17765.465,26910.96
1919-06-01,20.119017,20.391779,8888.562,1720.8271
1919-07-01,20.823437,21.97475,109840.76,145068.44
1919-08-01,21.142246,22.141008,45980.094,50842.207
1919-09-01,17.481642,18.99116,63077.27,59815.035
1919-10-01,10.606663,9.747566,20431.988,49668.324
1919-11-01,5.780278,5.7796125,70258.01,88269.42
1919-12-01,3.5169203,3.2215393,41260.227,14542.435
1920-01-01,2.5746264,3.5128658,51804.293,53608.395
1920-02-01,5.0813017,5.3466187,63673.324,114639.016
1920-03-01,4.880758,5.0864787,47949.74,50037.047
1920-04-01,7.1076717,7.883148,9153.922,8355.055
1920-05-01,14.295727,14.762832,8004.3174,19421.535
1920-06-01,18.525723,19.194775,20470.055,3939.6143
1920-07-01,21.778006,23.195194,30643.293,25065.156
1920-08-01,19.932146,21.058153,45324.125,50730.734
1920-09-01,17.450104,17.66414,26073.564,19420.137
1920-10-01,10.590737,10.880194,48604.594,44563.125
1920-11-01,6.024561,6.261191,17218.59,7912.254
1920-12-01,1.1309812,1.2979499,10483.178,8531.538
1921-01-01,3.6115124,2.6279848,13472.687,33706.008
1921-02-01,4.4914923,5.1860375,18006.098,10116.873
1921-03-01,8.417362,8.806834,7518.2305,26157.934
1921-04-01,8.597161,9.574653,9115.023,15339.426
1921-05-01,13.500181,13.520971,9351.389,21437.37
1921-06-01,19.701624,20.380665,8418.671,5205.1406
1921-07-01,21.153597,22.898214,110035.05,84282.03
1921-08-01,19.645214,21.308647,100566.78,86590.2
1921-09-01,17.873688,18.498096,8787.261,16736.28
1921-10-01,14.184108,14.664303,19362.395,41966.2
1921-11-01,7.421055,8.151576,9420.136,11728.551
1921-12-01,4.7229123,5.0821586,35616.555,80710.39
1922-01-01,0.6999437,0.35267222,63492.72,84790.47
1922-02-01,2.9075124,2.5476909,17067.88,24384.248
1922-03-01,4.4412813,5.0080395,44059.758,57180.883
1922-04-01,7.581358,8.358092,24334.281,12182.15
1922-05-01,14.267653,14.983827,9766.243,19781.357
1922-06-01,20.642744,21.137266,15782.269,12980.175
1922-07-01,22.468908,23.72601,35378.688,40588.336
1922-08-01,21.59903,22.44021,51139.336,52147.754
1922-09-01,19.29845,20.025188,10149.534,29977.545
1922-10-01,13.024549,13.163906,10778.15,14335.205
1922-11-01,4.619055,4.3331804,44840.984,48081.977
1922-12-01,4.07725,4.1922727,22052.646,22390.18
1923-01-01,3.9363673,4.2901444,21055.15,30363.293
1923-02-01,2.5826328,2.427186,40906.44,30212.371
1923-03-01,4.412156,4.994508,35637.92,45643.742
1923-04-01,9.423938,9.691161,10532.885,17392.191
1923-05-01,15.207785,15.998497,6962.7627,4372.2656
1923-06-01,18.17208,17.612442,198.38379,323.42773
1923-07-01,21.73361,22.764172,57677.32,50763.746
1923-08-01,19.700718,20.868288,93055.05,63851.65
1923-09-01,16.091965,16.930851,47539.33,53895.367
1923-10-01,10.557869,10.952075,18489.352,10960.924
1923-11-01,5.8606,6.840752,50965.98,51471.03
1923-12-01,1.2053516,2.3557136,80045.55,85287.09
1924-01-01,0.7136625,0.9194084,3595.7373,1880.3184
1924-02-01,4.8363767,6.065391,4189.336,457.02734
1924-03-01,3.455589,3.6836393,59799.656,52615.895
