Time,Temp_Salt,Temp_Verde,Temp_Maricopa,Precip_Salt,Precip_Verde,Precip_Maricopa,Population,IrrigatedLand_Acres,datacenters_TotalMW,datacenters_TotalNum
2026-06-01,20.972582,21.974016,31.236763,461.6283246850799,475.8515884714143,27.744329975575965,4920049.23024563,204522.0,1212.0,13.0
2026-07-01,25.03429,27.007235,36.358704,19060.51021964522,6417.917433128605,3948.8813568267688,4927591.179933623,204522.0,1212.0,13.0
2026-08-01,20.949894,22.427137,32.220314,39288.52651583729,10834.720166531042,14645.240444475712,4935384.527944551,204522.0,1212.0,13.0
2026-09-01,18.813648,20.112804,30.477566,10896.836388659722,6962.768997673265,2434.3531582699143,4943177.875955477,204522.0,1212.0,13.0
2026-10-01,15.049019,16.018923,25.397923,4063.474940456581,4711.486286919626,1130.4753650342263,4950719.825643471,204522.0,1212.0,13.0
2026-11-01,8.614602,10.107072,18.914274,4876.948142557012,4100.321021511263,2108.3671319192945,4958513.173654399,204522.0,1212.0,13.0
2026-12-01,4.0421515,4.830596,12.788249,7007.120177025354,3579.681066691319,3319.8598808571205,4966055.123342392,204522.0,1568.0,16.0
2027-01-01,3.5096846,4.6162796,13.038312,29425.99916884792,37912.334638880566,38009.71770563774,4973848.4713533195,204522.0,1825.0,17.0
2027-02-01,2.787819,3.7831976,12.068742,21478.837735997517,21194.744385627564,18381.699055287758,4981472.544246468,204522.0,1825.0,17.0
2027-03-01,5.680874,6.960331,15.784096,5182.637426212023,9097.360811691033,2434.2390973818965,4988358.803633827,204522.0,1825.0,17.0
2027-04-01,11.780796,12.65461,21.83041,797.4612465013706,1394.3967343680015,9.251130632492275,4995982.876526974,204522.0,1825.0,17.0
2027-05-01,15.497102,17.004042,26.081177,456.491111210471,235.6386538098832,0.0,5003361.011584859,204522.0,1825.0,17.0
2027-06-01,20.193686,21.562319,30.917742,3238.3846626271406,227.3247744233231,19.556373619252557,5010985.084478008,204522.0,1825.0,17.0
2027-07-01,23.141878,24.755684,34.133804,23911.51223875349,31865.693860137253,24959.520713749956,5018363.219535892,204522.0,1825.0,17.0
