Time,Temp_Salt,Temp_Verde,Temp_Maricopa,Precip_Salt,Precip_Verde,Precip_Maricopa,Population,IrrigatedLand_Acres,datacenters_TotalMW,datacenters_TotalNum
2026-06-01,21.405207,22.534292,31.400064,6192.295866956556,3543.7034561609835,834.7323634752684,4920049.23024563,204522.0,1212.0,13.0
2026-07-01,24.602316,26.768377,35.787857,47477.990319393575,31365.076755161863,27081.07227149667,4927591.179933623,204522.0,1212.0,13.0
2026-08-01,21.238823,23.08964,32.690033,39420.63854945591,32705.90636250854,25530.815068668744,4935384.527944551,204522.0,1212.0,13.0
2026-09-01,19.887398,21.659208,31.3461,20961.371964222053,35531.38650418259,20287.83889120677,4943177.875955477,204522.0,1212.0,13.0
2026-10-01,15.762205,16.869446,26.057661,3136.1227289679846,2153.1115175906507,213.1169469164433,4950719.825643471,204522.0,1212.0,13.0
2026-11-01,9.96722,11.362991,19.49914,29758.46953393193,34161.321873776615,39244.604180334136,4958513.173654399,204522.0,1212.0,13.0
2026-12-01,4.5269947,5.249514,13.494063,6480.071634865453,7534.815616131709,3529.504684143467,4966055.123342392,204522.0,1568.0,16.0
2027-01-01,3.5278025,4.7483044,12.633329,12282.24895420717,10826.62559202072,10433.16722461568,4973848.4713533195,204522.0,1825.0,17.0
2027-02-01,2.9025905,3.8561442,12.435706,17645.67532626679,28049.417618417647,11461.56798473312,4981472.544246468,204522.0,1825.0,17.0
2027-03-01,6.578037,7.625939,16.45012,28270.39287232328,35255.06201168464,29198.42931711028,4988358.803633827,204522.0,1825.0,17.0
2027-04-01,11.29915,12.193065,20.690226,12015.707023674622,16314.020381236332,14945.406403276138,4995982.876526974,204522.0,1825.0,17.0
2027-05-01,15.956688,17.562723,26.78832,3313.5432139026307,614.303182684398,227.82891321089664,5003361.011584859,204522.0,1825.0,17.0
2027-06-01,20.233839,21.419456,30.82103,3927.6858927387366,2241.8996824740134,39.32792693285592,5010985.084478008,204522.0,1825.0,17.0
2027-07-01,22.96011,24.71382,34.02843,38335.57061426109,38860.96729535493,25888.40726566777,5018363.219535892,204522.0,1825.0,17.0
